item_key,product_name,component,norm_name,matched,match_method,match_score,item_code,sprav_name,weight
51,"Колготки женские эластичные, шт.",nonfood,колготки женские эластичные,True,exact,1.0,272,"Колготки женские эластичные, шт.",0.00127
52,"Кроссовые туфли для детей, пара",nonfood,кроссовые туфли для детей,True,exact,1.0,319,"Кроссовые туфли для детей с верхом из искусственной кожи, пара",0.00156
53,"Кроссовые туфли для взрослых, пара",nonfood,кроссовые туфли для взрослых,True,exact,1.0,1032,"Кроссовые туфли для взрослых, пара",0.00518
54,"Мыло хозяйственное, 200 г",nonfood,мыло хозяйственное 200 г,True,exact,1.0,390,"Мыло хозяйственное, 200 г",0.00174
55,"Порошок стиральный, кг",nonfood,порошок стиральный,True,exact,1.0,508,"Порошок стиральный, кг",0.00342
56,"Мыло туалетное, 100 г",nonfood,мыло туалетное 100 г,True,exact,1.0,389,"Мыло туалетное, 100 г",0.00099
57,"Шампунь, 250 мл",nonfood,шампунь 250 мл,True,exact,1.0,726,"Шампунь, 250 мл",0.0019
58,"Паста зубная, 100 г (100 мл)",nonfood,паста зубная 100 г,True,exact,1.0,457,"Паста зубная, 100 г (100 мл)",0.00191
59,"Щетка зубная, шт.",nonfood,щетка зубная,True,exact,1.0,735,"Щетка зубная, шт.",0.00174
6,"Колбаса полукопченая и варено-копченая, кг",food,колбаса полукопченая и варено копченая,True,exact,1.0,266,"Колбаса полукопченая и варено-копченая, кг",0.00298
60,"Сигареты с фильтром, пачка",nonfood,сигареты с фильтром пачка,True,exact,1.0,1046,"Сигареты с фильтром, пачка",0.0086599999999999
61,"Спички, коробок",nonfood,спички коробок,True,exact,1.0,601,"Спички, коробок",0.00059
62,"Электропылесос напольный, шт.",nonfood,электропылесос напольный,True,exact,1.0,741,"Электропылесос напольный, шт.",0.00185
63,"Бумага туалетная, рулон",nonfood,бумага туалетная рулон,True,exact,1.0,147,"Бумага туалетная, рулон",0.00099
64,"Прокладки женские гигиенические, 10 шт.",nonfood,прокладки женские гигиенические 10,True,exact,1.0,984,"Прокладки женские гигиенические, 10 шт.",0.00108
65,"Подгузники детские бумажные, 10 шт.",nonfood,подгузники детские бумажные 10,True,exact,1.0,488,"Подгузники детские бумажные (памперсы), 10 шт.",0.00114
66,"Телевизор, шт.",nonfood,телевизор,False,unmatched,0.46153846153846156,,,
67,"Смартфон, шт.",nonfood,смартфон,True,exact,1.0,585,"Смартфон, шт.",0.00625
68,"Доска обрезная, м3",nonfood,доска обрезная,True,exact,1.0,213,"Доска обрезная, м3",0.00153
69,"Плиты древесностружечные, ориентированно-стружечные, м2",nonfood,плиты древесностружечные ориентированно стружечные,True,exact,1.0,486,"Плиты древесностружечные, ориентированно-стружечные, м2",0.0008899999999999
7,"Колбаса вареная, кг",food,колбаса вареная,True,exact,1.0,265,"Колбаса вареная, кг",0.00464
70,"Дизельное топливо, л",nonfood,дизельное топливо,True,exact,1.0,209,"Дизельное топливо, л",0.00286
71,Бензин автомобильный,nonfood,бензин автомобильный,False,unmatched,0.7692307692307693,,,
72,"Бензин автомобильный марки АИ-92, л",nonfood,бензин автомобильный марки аи 92,True,exact,1.0,130,"Бензин автомобильный марки АИ-92, л",0.01023
73,"Бензин автомобильный марки АИ-95, л",nonfood,бензин автомобильный марки аи 95,True,exact,1.0,131,"Бензин автомобильный марки АИ-95, л",0.01543
74,"Бензин автомобильный марки АИ-98 и выше, л",nonfood,бензин автомобильный марки аи 98 и выше,True,exact,1.0,132,"Бензин автомобильный марки АИ-98, л",0.00117
78,"Корвалол, 25 мл",nonfood,корвалол 25 мл,True,exact,1.0,302,"Корвалол, 25 мл",0.00039
79,"Левомеколь, мазь, 40 г",nonfood,левомеколь мазь 40 г,True,exact,1.0,337,"Левомеколь, мазь, 40 г",0.00041
8,"Консервы мясные для детского питания, кг",food,консервы мясные для детского питания,True,exact,1.0,285,"Консервы мясные для детского питания, кг",3e-05
80,"Валидол, 60 мг, 10 таблеток",nonfood,валидол 60 мг 10 таблеток,True,exact,1.0,150,"Валидол, 60 мг, 10 таблеток",0.00032
82,"Ренгалин, 20 таблеток",nonfood,ренгалин 20 таблеток,True,exact,1.0,1045,"Ренгалин, 20 таблеток",0.0004
85,"Сухие корма для домашних животных, кг",nonfood,сухие корма для домашних животных,True,exact,1.0,616,"Сухие корма для домашних животных, кг",0.00104
86,"Ремонт телевизоров, один вид работ",services,ремонт телевизоров один вид работ,True,fuzzy,0.9850746268656716,543,"Ремонт  телевизоров, один вид работы",0.00037
87,"Мойка легкового автомобиля, услуга",services,мойка легкового автомобиля,True,exact,1.0,375,"Мойка легкового автомобиля, услуга",0.00529
88,"Стрижка модельная в женском зале, стрижка",services,стрижка модельная в женском зале стрижка,True,exact,1.0,608,"Стрижка модельная в женском зале, стрижка",0.00549
89,"Стрижка модельная в мужском зале, стрижка",services,стрижка модельная в мужском зале стрижка,True,exact,1.0,609,"Стрижка модельная в мужском зале, стрижка",0.0051
9,"Рыба мороженая неразделанная, кг",food,рыба мороженая неразделанная,True,exact,1.0,558,"Рыба мороженая неразделанная, кг",0.00303
90,"Проезд в городском автобусе, поездка",services,проезд в городском автобусе,True,exact,1.0,525,"Проезд в городском автобусе,поездка",0.00185
91,"Проезд в троллейбусе, поездка",services,проезд в троллейбусе,True,exact,1.0,533,"Проезд в троллейбусе, поездка",0.0001
93,"Плата за жилье в домах государственного и муниципального жилищных фондов, м2 общей площади",services,плата за жилье в домах государственного и муниципального жилищных фондов общей площади,True,exact,1.0,400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",0.00012
94,"Отопление, Гкал",services,отопление гкал,True,exact,1.0,448,"Отопление, Гкал",0.00924
95,"Водоснабжение холодное, м3",services,водоснабжение холодное,True,exact,1.0,174,"Водоснабжение холодное, м3",0.0053
96,"Водоотведение, м3",services,водоотведение,True,exact,1.0,172,"Водоотведение, м3",0.00325
97,"Водоснабжение горячее, м3",services,водоснабжение горячее,True,exact,1.0,173,"Водоснабжение горячее, м3",0.00592
98,Услуги по снабжению электроэнергией,services,услуги по снабжению электроэнергией,True,exact,1.0,744+745+746+747,"Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч",0.01142
99,"Проживание в гостинице 1* или в мотеле, сутки с человека",services,проживание в гостинице 1 или в мотеле сутки с человека,True,exact,1.0,1004,"Проживание в гостинице 1* или в мотеле, сутки с человека",5e-05
"аллохол, 50 таблеток","Аллохол, 50 таблеток",nonfood,аллохол 50 таблеток,False,unmatched,0.7142857142857143,,,
"комбинированные анальгетики, 10 таблеток","Комбинированные анальгетики, 10 таблеток",nonfood,комбинированные анальгетики 10 таблеток,False,unmatched,0.704225352112676,,,
"метамизол натрия (анальгин отечественный), 500 мг, 10 таблеток","Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",nonfood,метамизол натрия 500 мг 10 таблеток,True,exact,1.0,370,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0.00036
"молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л","Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",food,молоко питьевое цельное стерилизованное 2 5 3 2 жирности,True,exact,1.0,379,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",0.00232
"нимесулид, 100 мг, 10 таблеток","Нимесулид, 100 мг, 10 таблеток",nonfood,нимесулид 100 мг 10 таблеток,True,exact,1.0,406,"Нимесулид, 100 мг, 10 таблеток",0.0004
"полет в салоне экономического класса самолета, в расчете на 1000 км пути","Полет в салоне экономического класса самолета, в расчете на 1000 км пути",services,полет в салоне экономического класса самолета в расчете на 1000 км пути,False,unmatched,0.5740740740740741,,,
"поливитамины, 10 шт.","Поливитамины, 10 шт.",nonfood,поливитамины 10,False,unmatched,0.5294117647058824,,,
"эргоферон, 20 таблеток","Эргоферон, 20 таблеток",nonfood,эргоферон 20 таблеток,False,unmatched,0.7317073170731707,,,
105,"Легковой автомобиль иностранной марки новый, шт.",nonfood,легковой автомобиль иностранной марки новый,True,exact,1.0,339,"Легковой автомобиль иностранной марки новый, шт.",0.00959
106,"Легковой автомобиль отечественный новый, шт.",nonfood,легковой автомобиль отечественный новый,True,exact,1.0,340,"Легковой автомобиль отечественный новый, шт.",0.00753
107,"Дом отдыха, пансионат, день",services,дом отдыха пансионат день,True,exact,1.0,210,"Дом отдыха, пансионат, день",0.00177
непродовольственные товары,Непродовольственные товары,food,непродовольственные товары,False,unmatched,0.4444444444444444,,,
108,"Восстановление зуба пломбой, услуга",services,восстановление зуба пломбой,True,exact,1.0,342,"Лечение кариеса, пломба",0.00221
109,"Метамизол натрия (Анальгин отечественный), 10 таблеток",nonfood,метамизол натрия 10 таблеток,True,exact,1.0,370,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0.00036
110,"Пенталгин, 24 таблетки",nonfood,пенталгин 24 таблетки,True,exact,1.0,1099,"Пенталгин, 24 таблетки",0.00035
111,"Нимесулид, 10 таблеток",nonfood,нимесулид 10 таблеток,True,exact,1.0,406,"Нимесулид, 100 мг, 10 таблеток",0.0004
112,"Трекрезан, 10 таблеток",nonfood,трекрезан 10 таблеток,True,exact,1.0,1102,"Трекрезан, 10 таблеток",0.00032
113,"Активированный уголь, 10 таблеток",nonfood,активированный уголь 10 таблеток,True,exact,1.0,851,"Активированный уголь, 250 мг, 10 таблеток",0.00032
114,"Лизобакт, 10 таблеток",nonfood,лизобакт 10 таблеток,True,exact,1.0,1096,"Лизобакт, 10 таблеток",0.00034
14,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",food,молоко питьевое цельное ультрапастеризованное 2 5 3 2 жирности,True,fuzzy,0.9491525423728814,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302
