Code,Name,Component,Weight,Best_Approach,Best_MAE,Baseline_MAE,Improvement,MAE_baseline,MAE_usd,MAE_brent,MAE_monetary,MAE_seasonal,MAE_tariff,MAE_all
36,Сахар,Продовольственн,0.575,baseline,2.4261041548491327,2.4261041548491327,0.0,2.4261041548491327,2.8176289054962216,3.523561721954408,3.6797459819067786,2.4566194218162782,2.5324421508450334,5.485103019941287
37,Средства связи,Непродовольстве,0.9079999999999999,baseline,2.1700372378132466,2.1700372378132466,0.0,2.1700372378132466,2.574865349281249,3.9771341137910454,2.2387562851925162,2.205319900309222,2.231754079351962,4.523197413051781
38,Строительные материалы,Непродовольстве,1.48,seasonal,0.4005348267373944,0.40760187392721786,1.7338112609083314,0.40760187392721786,0.4796700541082421,0.8302421646096532,0.47227778978896595,0.4005348267373944,0.407378021968081,1.0624525707428059
39,Сыр,Продовольственн,1.374,seasonal,0.8744903130178526,0.8813982212079943,0.7837442853780732,0.8813982212079943,0.9168268283567671,1.0373812480131857,0.9722583152259325,0.8744903130178526,0.9030602336586577,1.3329409935922918
40,Табачные изделия,Непродовольстве,0.859,brent,0.6377616519874016,0.6469727354543198,1.4237205004396176,0.6469727354543198,0.6528055090159517,0.6377616519874016,0.693370163679757,0.6479896958542725,0.6560500804666715,0.8604442051483852
41,Телерадиотовары,Непродовольстве,0.251,monetary,3.0862668951021925,3.225860925492134,4.327341866687732,3.225860925492134,3.5198726717225104,4.349483157633229,3.0862668951021925,3.255071709403459,3.3028681989677136,5.128320731738489
42,Топливо моторное,Непродовольстве,3.302,brent,1.0226339707662309,1.210416543158309,15.513880197151122,1.210416543158309,1.0707266067662395,1.0226339707662309,1.2827072028523223,1.185143448552726,1.2125796438341059,1.1371014893321414
43,Трикотажные изделия,Непродовольстве,1.601,seasonal,0.5655477092772933,0.5677238349404935,0.38330708158982585,0.5677238349404935,0.5817317191714996,0.6235208551305439,0.5784599143757867,0.5655477092772933,0.5808114298392539,0.5899900800677466
44,Услуги в системе образования,Услуги,1.306,usd,0.5209986264392378,0.5252008529492107,0.8001179903604047,0.5252008529492107,0.5209986264392378,0.8101082238246085,0.5458459056761918,0.5225371475016829,0.5344789800337192,0.8737884338124546
46,Услуги организаций культуры,Услуги,0.074,tariff,1.3535015039413707,1.4044370849529415,3.6267613236144003,1.4044370849529415,1.4479174412630476,1.6425447501958685,1.5106430939697018,1.3636597928078682,1.3535015039413707,2.2441608690771795
47,Услуги пассажирского транспорта,Услуги,2.242,usd,2.1864525311642025,2.303184695750646,5.068293689247465,2.303184695750646,2.1864525311642025,3.040901004132864,2.648926867111146,2.3671372128929087,2.3719151338518385,4.802591491882238
48,Услуги телекоммуникационные,Услуги,3.021,seasonal,0.7462050775075267,0.7515158120264476,0.706669697953599,0.7515158120264476,0.7687918081260556,0.7507050819546988,0.8417639686872214,0.7462050775075267,0.7877999011874215,0.8549150624846542
49,Хлеб и хлебобулочные изделия,Продовольственн,1.3599999999999999,monetary,0.9978144015053265,1.0123751834305015,1.4382792233048196,1.0123751834305015,1.0058614156004124,1.0377743329971165,0.9978144015053265,1.0167193020413132,1.0574705887524973,1.011711704889651
50,"Чай, кофе, какао",Продовольственн,1.517,baseline,1.477200750804617,1.477200750804617,0.0,1.477200750804617,1.497478955248165,1.5537181989296815,1.633512299806229,1.4993573594012275,1.4915368141813643,1.9048673223334398
51,Электротовары и другие бытовые приборы,Непродовольстве,1.5939999999999999,usd,1.5293102184873055,1.58695375394974,3.632338706718237,1.58695375394974,1.5293102184873055,3.5161742266668186,1.6400661292127003,1.7271732670294777,1.6636530518888673,4.285921704035377
52,Яйца,Продовольственн,0.61,usd,5.639458369834111,6.598293703775791,14.531564931597371,6.598293703775791,5.639458369834111,6.987695342470408,6.684051775196133,6.37675752234143,6.959529255018016,6.716744468170775
53,Другие продовольственные товары,Продовольственн,3.665,usd,0.8620671530468919,0.8716953986634949,1.1045424389488911,0.8716953986634949,0.8620671530468919,1.322082630861094,0.9461615051128909,0.8737795093177453,0.9144874480971544,1.4415173518668358
54,Другие непродовольственные товары,Непродовольстве,4.447,baseline,0.5051021433402351,0.5051021433402351,0.0,0.5051021433402351,0.5154893640898575,0.5369944457578202,0.5418444358714334,0.5098117173518714,0.5170827079975863,0.5551208998494056
55,Другие услуги,Услуги,2.086,baseline,1.4978779930874597,1.4978779930874597,0.0,1.4978779930874597,1.6961076905795807,1.7501550669334611,1.5727851071415797,1.5251245797776944,1.5461321217009303,2.2152554790369066
67,Услуги в сфере зарубежного туризма,Услуги,0.17600000000000002,seasonal,7.324358869863323,7.380001192737607,0.7539608927033777,7.380001192737607,7.719173802655472,8.220836422830542,8.6810732277499,7.324358869863323,7.464089187354677,9.126744446545942
