Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=12,RF,Regional,0.5413658638654523,22,35,9
h=12,RF,Best_combined,0.461140787968003,22,35,10
h=12,GradBoost,AR_minimal,0.5106610040229091,23,35,5
h=12,GradBoost,AR_extended,0.4210110373679478,23,35,12
h=12,GradBoost,Components,0.5291676015931152,20,35,10
h=12,GradBoost,Federal_macro,0.4659918918010192,20,35,10
h=12,GradBoost,IBVED_q,0.5489297370176969,17,35,4
h=12,GradBoost,Regional,0.5285212207388241,22,35,9
h=12,GradBoost,Best_combined,0.5121723536193027,23,35,10
h=12,XGBoost,AR_minimal,0.5527647356305798,17,35,5
h=12,XGBoost,AR_extended,0.44647126116071345,23,35,12
h=12,XGBoost,Components,0.5349988316127223,16,35,10
h=12,XGBoost,Federal_macro,0.4719963204520086,20,35,10
h=12,XGBoost,IBVED_q,0.5783518938337043,17,35,4
h=12,XGBoost,Regional,0.6163319614955356,17,35,9
h=12,XGBoost,Best_combined,0.5321084507533475,18,35,10
h=12,LightGBM,AR_minimal,0.44890456696230835,24,35,5
h=12,LightGBM,AR_extended,0.43709377217293355,25,35,12
h=12,LightGBM,Components,0.4495063619866061,20,35,10
h=12,LightGBM,Federal_macro,0.3718699824091772,24,35,10
h=12,LightGBM,IBVED_q,0.46503613327431353,21,35,4
h=12,LightGBM,Regional,0.4720410976570694,20,35,9
h=12,LightGBM,Best_combined,0.4635774654456619,21,35,10
h=12,CatBoost,AR_minimal,0.47731703833301337,22,35,5
h=12,CatBoost,AR_extended,0.4405703153362603,22,35,12
h=12,CatBoost,Components,0.5085229198776082,21,35,10
h=12,CatBoost,Federal_macro,0.40494990919073764,21,35,10
h=12,CatBoost,IBVED_q,0.43908372773822585,21,35,4
h=12,CatBoost,Regional,0.5245223877950208,22,35,9
h=12,CatBoost,Best_combined,0.4110465323232481,24,35,10
h=12,NGBoost,AR_minimal,0.4217531778131282,23,35,5
h=12,NGBoost,AR_extended,0.3343219408800954,26,35,12
h=12,NGBoost,Components,0.4177765712116866,25,35,10
h=12,NGBoost,Federal_macro,0.38669655349658527,25,35,10
h=12,NGBoost,IBVED_q,0.4025578144083608,24,35,4
h=12,NGBoost,Regional,0.5028132558654757,23,35,9
h=12,NGBoost,Best_combined,0.4151580475567288,25,35,10
