Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=2,Stacking,AR_full,0.5471940904940769,28,45,14
h=2,Stacking,IBVED_focus,0.5489652273224052,30,45,4
h=2,Stacking,Components_IBVED,0.5497368964436996,31,45,7
h=2,Stacking,Rates,0.6195440262849757,30,45,11
h=2,Stacking,USD_focus,0.5358830800762676,31,45,9
h=2,Stacking,Brent_focus,0.5181816600836046,18,24,9
h=2,Stacking,Components_Rates,0.6060871697958093,28,45,9
h=2,Stacking,Full_macro,0.6318472796056019,25,39,11
h=2,Stacking,Minimal_plus,0.5501801948128647,27,45,6
h=2,Stacking,AR_volatility,0.5533221313092803,28,45,9
h=2,Stacking,Production,0.5518074853558141,31,45,10
h=2,Stacking,Services,0.5520342057579398,31,45,10
h=2,Stacking,Ultimate,0.5517054961520296,28,45,9
h=2,Voting,Components,0.5501911100591934,29,45,10
h=2,Voting,Components_momentum,0.5504912003816758,29,45,14
h=2,Voting,AR_full,0.5516764989511952,27,45,14
h=2,Voting,IBVED_focus,0.5388954721470541,31,45,4
h=2,Voting,Components_IBVED,0.5412228790389156,30,45,7
h=2,Voting,Rates,0.6229440821197348,29,45,11
h=2,Voting,USD_focus,0.5227299096665111,31,45,9
h=2,Voting,Brent_focus,0.5620871098462737,17,24,9
h=2,Voting,Components_Rates,0.5998989830385442,31,45,9
h=2,Voting,Full_macro,0.6722270953385182,24,39,11
h=2,Voting,Minimal_plus,0.5472851161275716,28,45,6
h=2,Voting,AR_volatility,0.5507647318136988,28,45,9
h=2,Voting,Production,0.5470668656479628,31,45,10
h=2,Voting,Services,0.5393956227508682,30,45,10
h=2,Voting,Ultimate,0.5520730840563791,28,45,9
h=12,Lasso,Components,0.3619476132316265,26,35,10
h=12,Lasso,Components_momentum,0.3612084686605024,26,35,14
h=12,Lasso,AR_full,0.3661042861004217,25,35,14
h=12,Lasso,IBVED_focus,0.36194761321031915,26,35,4
h=12,Lasso,Components_IBVED,0.3619476132316265,26,35,7
h=12,Lasso,Rates,0.3773874898691373,26,35,11
h=12,Lasso,USD_focus,0.37021036170805366,24,35,9
h=12,Lasso,Brent_focus,0.38062201525980155,15,20,9
h=12,Lasso,Components_Rates,0.3670879084121038,25,35,9
h=12,Lasso,Full_macro,0.38109739739124926,22,32,11
h=12,Lasso,Minimal_plus,0.36194761321031915,26,35,6
h=12,Lasso,AR_volatility,0.3629112497288844,26,35,9
h=12,Lasso,Production,0.3612084686786123,26,35,10
h=12,Lasso,Services,0.3612084686784901,26,35,10
h=12,Lasso,Ultimate,0.3670879084667133,25,35,9
h=12,ElasticNet,Components,0.3718533807853459,26,35,10
h=12,ElasticNet,Components_momentum,0.37125421453724244,26,35,14
h=12,ElasticNet,AR_full,0.37809508605399944,26,35,14
h=12,ElasticNet,IBVED_focus,0.36638124385215465,26,35,4
h=12,ElasticNet,Components_IBVED,0.3663449758863075,26,35,7
h=12,ElasticNet,Rates,0.3929862225426628,28,35,11
h=12,ElasticNet,USD_focus,0.39994675054930967,26,35,9
h=12,ElasticNet,Brent_focus,0.3821769954022159,16,20,9
h=12,ElasticNet,Components_Rates,0.3706399450017601,26,35,9
h=12,ElasticNet,Full_macro,0.38077901076707965,24,32,11
h=12,ElasticNet,Minimal_plus,0.37347199964985206,26,35,6
h=12,ElasticNet,AR_volatility,0.37478661943310465,26,35,9
h=12,ElasticNet,Production,0.3712512503474313,26,35,10
h=12,ElasticNet,Services,0.36576842529334214,27,35,10
h=12,ElasticNet,Ultimate,0.3776462014461442,26,35,9
h=12,Huber,Components,0.351430717899927,25,35,10
h=12,Huber,Components_momentum,0.369509263009875,24,35,14
h=12,Huber,AR_full,0.3879532402598106,24,35,14
h=12,Huber,IBVED_focus,0.37431999136322575,26,35,4
h=12,Huber,Components_IBVED,0.3594918780714961,26,35,7
h=12,Huber,Rates,0.41208538263358685,24,35,11
h=12,Huber,USD_focus,0.374232545410948,23,35,9
h=12,Huber,Brent_focus,0.3911745179050442,16,20,9
h=12,Huber,Components_Rates,0.37129660072336645,27,35,9
h=12,Huber,Full_macro,0.34907554047992084,23,32,11
h=12,Huber,Minimal_plus,0.4008066606431669,25,35,6
h=12,Huber,AR_volatility,0.38921390511545234,24,35,9
h=12,Huber,Production,0.3886128631684301,24,35,10
h=12,Huber,Services,0.3744975958985415,25,35,10
h=12,Huber,Ultimate,0.39356166615338484,26,35,9
h=12,Ridge_100,Components,0.3642023263633807,25,35,10
h=12,Ridge_100,Components_momentum,0.3717053077821902,25,35,14
h=12,Ridge_100,AR_full,0.3915853510148066,25,35,14
h=12,Ridge_100,IBVED_focus,0.35783670082658714,27,35,4
h=12,Ridge_100,Components_IBVED,0.35659185186422065,26,35,7
h=12,Ridge_100,Rates,0.38806444633624154,27,35,11
h=12,Ridge_100,USD_focus,0.373233598954708,26,35,9
h=12,Ridge_100,Brent_focus,0.40125217363378596,15,20,9
h=12,Ridge_100,Components_Rates,0.37385100042605757,26,35,9
h=12,Ridge_100,Full_macro,0.3670893927869021,22,32,11
h=12,Ridge_100,Minimal_plus,0.3671586732819427,25,35,6
h=12,Ridge_100,AR_volatility,0.3693600888975063,25,35,9
h=12,Ridge_100,Production,0.3707733819602644,25,35,10
h=12,Ridge_100,Services,0.35790311754656684,26,35,10
h=12,Ridge_100,Ultimate,0.36652982809553203,26,35,9
h=12,NGBoost,Components,0.4167136828676421,25,35,10
h=12,NGBoost,Components_momentum,0.43192047574672227,23,35,14
h=12,NGBoost,AR_full,0.40232195692011846,27,35,14
h=12,NGBoost,IBVED_focus,0.4025578144083608,24,35,4
h=12,NGBoost,Components_IBVED,0.4158414923873575,26,35,7
h=12,NGBoost,Rates,0.3791327547820247,25,35,11
h=12,NGBoost,USD_focus,0.5069416228305097,24,35,9
h=12,NGBoost,Brent_focus,0.39218638634979686,14,20,9
h=12,NGBoost,Components_Rates,0.4036309503768937,26,35,9
h=12,NGBoost,Full_macro,0.38703496101556123,24,32,11
h=12,NGBoost,Minimal_plus,0.3902437176382299,25,35,6
h=12,NGBoost,AR_volatility,0.38486374947934426,22,35,9
h=12,NGBoost,Production,0.39374380902699785,24,35,10
h=12,NGBoost,Services,0.3859899503185253,25,35,10
h=12,NGBoost,Ultimate,0.4528837845655452,23,35,9
h=12,Stacking,Components,0.3559468547767803,25,35,10
h=12,Stacking,Components_momentum,0.3632423898495233,25,35,14
h=12,Stacking,AR_full,0.3682000642742594,23,35,14
h=12,Stacking,IBVED_focus,0.36290153711550366,25,35,4
h=12,Stacking,Components_IBVED,0.35642072165650557,25,35,7
h=12,Stacking,Rates,0.37208983264749074,26,35,11
h=12,Stacking,USD_focus,0.3429501410027293,25,35,9
h=12,Stacking,Brent_focus,0.4051332534304322,14,20,9
h=12,Stacking,Components_Rates,0.36388477074043357,25,35,9
h=12,Stacking,Full_macro,0.35830677443943015,24,32,11
h=12,Stacking,Minimal_plus,0.3779237724868332,24,35,6
h=12,Stacking,AR_volatility,0.3696561237889402,23,35,9
