horizon,model,baseline,target_month,N_pair,N_planned,candidate_error,baseline_error,absolute_loss_difference
1,Ridge,GroupsFixed,2025-12-01,24,24,0.023697158586131195,0.42722762715406704,-0.40353046856793584
1,Ridge,GroupsFixed,2026-01-01,24,24,-0.6078550696468028,-0.8506260643726028,-0.2427709947258
1,Ridge,GroupsFixed,2026-02-01,24,24,-0.24945962948905276,-0.28854871329665743,-0.039089083807604674
1,Ridge,GroupsFixed,2026-03-01,24,24,0.17563996131009674,0.2263589728410106,-0.05071901153091385
1,Ridge,GroupsFixed,2026-04-01,24,24,0.8227150608685179,0.7505112058824355,0.0722038549860824
1,Ridge,GroupsFixed,2026-05-01,24,24,0.32505420858630885,0.17509004773328724,0.1499641608530216
1,Ridge,GroupsFixed,2026-06-01,24,24,-1.0294909707675828,-0.7340607700694574,0.2954302006981254
1,Ridge,GroupsFixed,2026-07-01,24,24,0.1461776044591545,-0.33050970598416235,-0.18433210152500784
1,Ridge,GroupsDated,2024-08-01,24,24,0.010534832337924627,0.21788366091123923,-0.2073488285733146
1,Ridge,GroupsDated,2024-09-01,24,24,-0.12814750158511856,-0.44988909068868643,-0.32174158910356787
1,Ridge,GroupsDated,2024-10-01,24,24,-0.45742628597942314,-0.5006888303788609,-0.043262544399437775
1,Ridge,GroupsDated,2024-11-01,24,24,-0.892461594689749,-0.8442211932593391,0.04824040143040986
1,Ridge,GroupsDated,2024-12-01,24,24,0.4314984125563228,-0.14162879879283963,0.2898696137634832
1,Ridge,GroupsDated,2025-01-01,24,24,0.17694589296706908,-0.05514497207641045,0.12180092089065864
1,Ridge,GroupsDated,2025-02-01,24,24,-0.8042696424575126,-0.6711814368931267,0.13308820556438594
1,Ridge,GroupsDated,2025-03-01,24,24,-0.14865028948442216,-0.10589605078828124,0.04275423869614092
1,Ridge,GroupsDated,2025-04-01,24,24,0.36912572904506646,0.03666658978891235,0.3324591392561541
1,Ridge,GroupsDated,2025-05-01,24,24,0.5469797017547222,0.5058607491387649,0.04111895261595733
1,Ridge,GroupsDated,2025-06-01,24,24,0.055009854317333406,0.31037741102727157,-0.25536755670993816
1,Ridge,GroupsDated,2025-07-01,24,24,-0.4446481224601797,-0.11112029378822202,0.3335278286719577
1,Ridge,GroupsDated,2025-08-01,24,24,0.39810021919093685,0.8008286529093198,-0.40272843371838296
1,Ridge,GroupsDated,2025-09-01,24,24,-0.6003137435213262,-0.7364241446014588,-0.13611040108013261
1,Ridge,GroupsDated,2025-10-01,24,24,0.04846178145515978,0.07620040446258713,-0.027738623007427354
1,Ridge,GroupsDated,2025-11-01,24,24,0.3338499551578451,0.48126061507325546,-0.14741065991541036
1,Ridge,GroupsDated,2025-12-01,24,24,0.023697158586131195,0.3714784910375941,-0.3477813324514629
1,Ridge,GroupsDated,2026-01-01,24,24,-0.6078550696468028,-0.8866536508573574,-0.27879858121055456
1,Ridge,GroupsDated,2026-02-01,24,24,-0.24945962948905276,-0.26974230563863355,-0.02028267614958079
1,Ridge,GroupsDated,2026-03-01,24,24,0.17563996131009674,0.25587603576489937,-0.08023607445480263
1,Ridge,GroupsDated,2026-04-01,24,24,0.8227150608685179,0.7446710703317053,0.07804399053681255
1,Ridge,GroupsDated,2026-05-01,24,24,0.32505420858630885,0.16358190277820378,0.16147230580810507
1,Ridge,GroupsDated,2026-06-01,24,24,-1.0294909707675828,-0.7341639715048913,0.29532699926269146
1,Ridge,GroupsDated,2026-07-01,24,24,0.1461776044591545,-0.2763779827447659,-0.13020037828561137
1,Huber,Ridge,2024-08-01,24,24,-0.010722811326843384,0.010534832337924627,0.00018797898891875775
1,Huber,Ridge,2024-09-01,24,24,-0.15127140895228308,-0.12814750158511856,0.02312390736716452
1,Huber,Ridge,2024-10-01,24,24,-0.4607828987570173,-0.45742628597942314,0.003356612777594137
1,Huber,Ridge,2024-11-01,24,24,-0.9351277576874537,-0.892461594689749,0.04266616299770476
1,Huber,Ridge,2024-12-01,24,24,0.33717085649078626,0.4314984125563228,-0.09432755606553656
1,Huber,Ridge,2025-01-01,24,24,0.18323589053740363,0.17694589296706908,0.006289997570334549
1,Huber,Ridge,2025-02-01,24,24,-0.6706243572502188,-0.8042696424575126,-0.1336452852072938
1,Huber,Ridge,2025-03-01,24,24,-0.12545608247035034,-0.14865028948442216,-0.02319420701407182
