top_model,files_total,code_files,doc_files,data_files,bytes_total,extensions
Модель оценки потенциального выпуска ЦФО на основе многомерного фильтра Калмана,2,0,1,0,170568,docx;rar
Модель прогнозирования экономической активности на основе метода FAMIDAS,3,0,2,0,5965951,docx;rar;txt
Обработка и сезонная корректировка данных мониторинга предприятий,1,0,0,0,4215388,rar
Описание.txt,1,0,1,0,0,txt
Оценка качества прогноза,1,0,1,0,22947,docx
Оценка ковариационной матрицы остатков в модели PVAR,1,0,0,0,25059,rar
Подготовка данных по морским грузоперевозкам,1,0,0,0,12239000,rar
Подготовка рядов данных для модели краткосрочного прогнозирования ВВПВРП,2,0,1,0,1433929,rar;txt
Поиск лучшей спецификации VAR модели,1,0,0,0,99191,rar
Поиск лучшей спецификации модели для прогноза,1,0,0,0,21959,rar
Построение ARIMAX моделей для прогнозирования ИПЦ,1,0,1,0,21658,docx
"Построение моделей ARMA(p,q)",1,0,0,0,424999,rar
Построение функции импульсных откликов в модели PVAR,1,0,0,0,25427,rar
Преобразование данных в Excel в панельный вид,1,0,0,0,65802,rar
Применение метода главных компонент и кластеризации данных,1,0,0,0,799023,rar
Прогноз ИПЦ и выпуска на основе FAR-модели,1,0,1,0,18737,docx
Прогноз ИПЦ на основе ARIMAX модели,2,0,1,0,36663,rar;txt
Прогноз ИПЦ на основе моделей машинного обучения,2,0,1,0,473310,rar;txt
Прогноз ежемесячной инфляции на основе еженедельной инфляции,2,0,1,0,14830496,rar;txt
Прогноз инфляции в регионе на основе прогноза по 45 компонетам,1,0,0,0,311014,rar
Прогноз инфляции на основе векторной авторегрессии,1,0,0,0,55988,rar
Прогноз инфляции на основе прогноза её субкомпонетов,1,0,0,0,182256,rar
Прогноз инфляции при помощи ARIMA модели на разной длине выборки,1,0,0,0,61548,rar
Прогноз курса доллара на основе GARCH модели,1,0,1,0,19216,docx
Прогноз региональной инфляции на основе ARIMA-модели,1,0,1,0,20279,docx
Прогнозирование ИПЦ_STL метод,1,0,1,0,27100,docx
Прогнозирование выпуска на основе прогноза компонентов ВРП,1,0,0,0,2201331,rar
Прогнозирование инфляции на основе ARIMASARIMA моделей,1,0,0,0,529944,rar
Прогнозирование инфляции на основе ML,3,0,2,0,1479671,docx;rar;txt
Прогнозирование инфляции при помощи VAR модели,1,0,0,0,190324,rar
Прогнозирование компонентов инфляции,1,0,0,0,4665129,rar
Прогнозирование основных макропеременных на основе КПМ,1,0,0,0,1804606,rar
Прогнозирование основных макроэкономических переменных с помощью модели векторной авторегрессии,1,0,0,0,3086180,rar
Прогнозирование показателей региональной экономики,1,0,0,0,14553,rar
Прогнозирование разрыва выпуска,1,0,0,0,12715,rar
Прогнозирование региональной инфляции,2,0,2,0,29643,docx;txt
Расчет разрыва выпуска,1,0,0,0,25586,rar
Сезонная корректировка данных по зарплате по отраслям,1,0,0,0,262030,rar
Сезонная корректировка компонент ИПЦ,1,0,0,0,1544886,rar
Сезонная корректировка компонент ИПЦ; анализ НМФИ,1,0,0,0,244374413,rar
Сезонное сглаживание временного ряда,1,0,0,0,2484844,rar
Сезонное сглаживание временных рядов,1,0,0,0,27161,rar
Сезонное сглаживание временных рядов (методика ДДКП),1,0,0,0,22748,rar
Сезонное сглаживание временных рядов (промышленность ДВМР),1,0,0,0,14502,rar
Сезонное сглаживание при помощи надстройки Excel,2,0,1,0,1380906,pdf;rar
Сезонное сглаживание социально-экономических показателей ДВМР,1,0,0,0,176681,rar
Сет ARIMA-моделей для моделирования инфляции Пермского края,1,0,0,0,70789,rar
