Item_code;Товар;Компонент;Субкомпонент;Weight
334;Ламинат, м2;Непродовольственные товары;Строительные материалы;0.00167
335;Лампа электрическая осветительная, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00019
336;Лампа энергосберегающая, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00022
337;Левомеколь, мазь, 40 г;Непродовольственные товары;Медицинские товары;0.00041
338;Легковой автомобиль импортный подержанный, шт.;Непродовольственные товары;Легковые автомобили;0.01012
339;Легковой автомобиль иностранной марки новый, шт.;Непродовольственные товары;Легковые автомобили;0.00959
340;Легковой автомобиль отечественный новый, шт.;Непродовольственные товары;Легковые автомобили;0.00753
341;Лечебный массаж, сеанс;Услуги;Медицинские услуги;0.00013
342;Лечение кариеса, пломба;Услуги;Медицинские услуги;0.00221
343;Лимоны, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00185
345;Линолеум, м2;Непродовольственные товары;Строительные материалы;0.00085
346;Лопата садовая, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00015
347;Лоперамид, 2 мг, 10 капсул (таблеток);Непродовольственные товары;Медицинские товары;0.00036
349;Лук репчатый, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00236
350;Майка, футболка женская бельевая, шт.;Непродовольственные товары;Трикотажные изделия;0.00079
351;Майка, футболка мужская бельевая, шт.;Непродовольственные товары;Трикотажные изделия;0.00151
352;Майонез, кг;Продовольственные товары;Другие продовольственные товары;0.00223
354;Макаронные изделия из пшеничной муки высшего сорта, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00382
355;Маникюр,услуга;Услуги;Бытовые услуги;0.0057
357;Маргарин, кг;Продовольственные товары;Масло и жиры;0.0008
358;Масло оливковое, л;Продовольственные товары;Масло и жиры;0.00257
359;Масло подсолнечное, кг;Продовольственные товары;Масло и жиры;0.00543
360;Масло сливочное, кг;Продовольственные товары;Масло и жиры;0.00872
362;Матрас детский, шт.;Непродовольственные товары;Мебель;0.00051
363;Машина стиральная автоматическая, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.0019
365;Мёд пчелиный натуральный, кг;Продовольственные товары;Другие продовольственные товары;0.00469
369;Металлочерепица, м2;Непродовольственные товары;Строительные материалы;0.00052
370;Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00036
373;Миксер, блендер, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00176
374;Мойка из нержавеющей стали для кухни, шт.;Непродовольственные товары;Строительные материалы;0.00182
375;Мойка легкового автомобиля, услуга;Услуги;Бытовые услуги;0.00529
378;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л;Продовольственные товары;Молоко и молочная продукция;0.00302
379;Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л;Продовольственные товары;Молоко и молочная продукция;0.00232
380;Молоко сгущенное с сахаром, 400 г;Продовольственные товары;Молоко и молочная продукция;0.00113
