Item_code,Item_name,Item_rosstat
346,"Лопата садовая, шт.",8303
347,"Лоперамид, 2 мг, 10 капсул (таблеток)",7974
348,"Лоратадин, 10 мг, 10 таблеток",7969
349,"Лук репчатый, кг",2603
350,"Майка, футболка женская бельевая, шт.",4508
351,"Майка, футболка мужская бельевая, шт.",4502
352,"Майонез, кг",2001
353,"Макаронные изделия",2400
354,"Макаронные изделия из пшеничной муки высшего сорта, кг",2403
355,"Маникюр,услуга",9144
356,"Маргарин и маргариновая продукция",1000
357,"Маргарин, кг",1001
358,"Масло оливковое, л",802
359,"Масло подсолнечное, кг",803
360,"Масло сливочное, кг",701
361,"Материалы строительные, кроме сборных железобетонных конструкций и деталей",7430
362,"Матрас детский, шт.",5810
363,"Машина стиральная автоматическая, шт.",6428
364,"Машина швейная, шт.",8008
365,"Мёд пчелиный натуральный, кг",1802
366,"Медикаменты",7900
367,"Междугородная телефонная связь",9330
368,"Металлическая посуда и металлические предметы домашнего обихода",6000
369,"Металлочерепица, м2",7427
370,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",7927
371,"Меховой головной убор женский из натурального меха, шт.",4216
372,"Меховой головной убор мужской из натурального меха, шт.",4211
373,"Миксер, блендер, шт.",6426
374,"Мойка из нержавеющей стали для кухни, шт.",7423
375,"Мойка легкового автомобиля, услуга",9143
376,"Молоко питьевое",1120
377,"Молоко питьевое и молочный напиток",1110
378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",1111
379,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",1112
380,"Молоко сгущенное с сахаром, 400 г",1127
381,"Монитор для настольного компьютера, шт.",7031
382,"Морковь, кг",2605
383,"Мороженое",3400
384,"Мороженое сливочное, кг",3403
385,"Мотоцикл без коляски, скутер, шт.",6803
386,"Музеи и выставки, билет",9525
387,"Мука",2100
388,"Мука пшеничная, кг",2101
389,"Мыло туалетное, 100 г",5201
390,"Мыло хозяйственное, 200 г",5001
391,"Мясо животных",130
392,"Мясо и птица",100
393,"Мясо индейки, кг",119
394,"Мясо птицы",110
395,"Мясокопчености, кг",208
396,"Мяч футбольный, шт.",7351
397,"Набор корпусной мебели, комплект",5812
398,"Набор мягкой мебели, комплект",5807
399,"Набор фломастеров, набор",6604
400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",9417
401,"Напитки безалкогольные",3300
402,"Напитки газированные, л",3305
403,"Настойка пустырника, 25 мл",7971
404,"Национальные сыры и брынза, кг",1203
405,"Начальный курс обучения вождению легкового автомобиля, курс",9933
406,"Нимесулид, 100 мг, 10 таблеток",7990
407,"Нитки",5500
408,"Нитки швейные, катушка",5501
409,"Нитроглицерин, 0,5 мг, 10 таблеток",7911
410,"Носки мужские, пара",4603
411,"Носки, гольфы детские, пара",4604
412,"Обед в ресторане, на 1 человека",3601
413,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",3606
414,"Обои бумажные, 10 м",7412
415,"Обои виниловые, 10 м",7425
416,"Обращение с твердыми коммунальными отходами, с человека",9447
417,"Обслуживание банковской карты в национальной валюте, услуга",9852
418,"Обувь детская",4730
419,"Обувь домашняя",4760
420,"Обувь домашняя с текстильным верхом для взрослых, пара",4747
421,"Обувь домашняя с текстильным верхом для детей, пара",4748
422,"Обувь женская",4710
423,"Обувь кроссовая и спортивная для взрослых",4770
424,"Обувь мужская",4750
425,"Обувь резиновая",4800
426,"Обучение в государственных и муниципальных образовательных организациях высшего профессионального образования, семестр",9942
427,"Обучение в негосударственных образовательных организациях высшего профессионального образования, семестр",9941
428,"Обучение в негосударственных общеобразовательных организациях, месяц",9921
429,"Обучение в образовательных организациях среднего профессионального образования, семестр",9922
430,"Общий анализ крови, анализ",9714
431,"Овощи",2600
432,"Овощи замороженные, кг",2631
433,"Овощи натуральные консервированные, маринованные, кг",1302
434,"Овсяные хлопья ""Геркулес"", кг",2309
435,"Огурцы свежие, кг",2621
436,"Одежда",30
437,"Одежда детская",4150
438,"Одежда для детей дошкольного возраста",48
439,"Одежда для детей школьного возраста",47
440,"Одежда женская",4130
441,"Одежда мужская",4110
442,"Одеяло стеганое, шт.",4194
443,"Окорочка куриные, кг",115
444,"Оплата горячего водоснабжения",76
445,"Оплата жилья в домах государственного и муниципального жилищных фондов",9411
446,"Оплата холодного водоснабжения и водоотведения",75
447,"Орехи, кг",2712
448,"Отопление, Гкал",9449
449,"Оформление доверенности в нотариальной конторе, услуга",9804
450,"Офтан катахром, 10 мл",7981
451,"Пальто (полупальто) женское с верхом из плащевых тканей, шт.",4133
452,"Пальто женское демисезонное из шерстяных или полушерстяных тканей, шт.",4132
453,"Пальто женское зимнее из шерстяных или полушерстяных тканей, шт.",4136
454,"Пальто женское меховое и дубленка, шт.",4219
455,"Панкреатин, 10 таблеток",7962
456,"Панталоны, трусы женские, шт.",4504
457,"Паста зубная, 100 г (100 мл)",5313
458,"Пеленки для новорожденных, шт.",4176
459,"Пельмени, манты, равиоли, кг",106
460,"Первичный консультативный осмотр больного у стоматолога, посещение",9761
461,"Первичный консультативный прием у врача специалиста, посещение",9711
462,"Перевод денежных средств для зачисления на счет другого физического лица, услуга",9855
463,"Перевязочные материалы",8100
464,"Пересылка простого письма внутри России, массой до 20 г, шт.",9312
465,"Перец черный (горошек), кг",2004
466,"Перчатки из натуральной кожи, пара",5412
467,"Перчатки трикотажные женские, пара",4414
468,"Печать цветных фотографий, шт.",9134
469,"Печень говяжья, свиная, кг",102
470,"Печенье, кг",1701
471,"Печь микроволновая, шт.",6423
472,"Пиво",3200
473,"Пиво зарубежных торговых марок, л",3202
474,"Пиво отечественное, л",3201
475,"Пиджак, жакет женский из шерстяных, полушерстяных или смесовых тканей, шт.",4126
476,"Пиломатериалы",7420
477,"Плата за исходящее SMS-сообщение, шт.",9363
478,"Плата за пересылку простой посылки внутри России массой 1-2 кг, шт.",9313
479,"Плата за пользование потребительским кредитом (процентная ставка в стоимостном выражении), руб.",9853
480,"Платье (платье-костюм) женское из полушерстяных или смесовых тканей, шт.",4165
481,"Платье (платье-костюм) женское из хлопчатобумажных или смесовых тканей, шт.",4148
482,"Платье (платье-костюм, сарафан) для девочек школьного возраста из полушерстяных, смесовых  тканей, шт.",4157
483,"Платье (сарафан) летнее для девочек дошкольного возраста, шт.",4174
484,"Плита бытовая, шт.",6424
485,"Плитка керамическая, облицовочная для внутренних работ, м2",7426
486,"Плиты древесностружечные, ориентированно-стружечные, м2",7403
487,"Повторное получение гербового документа в органах ЗАГС, документ",9991
488,"Подгузники детские бумажные (памперсы), 10 шт.",6504
489,"Подушка, шт.",4199
490,"Поезда дальнего следования",9250
491,"Поездка в Грецию, поездка",9548
492,"Поездка в Китай, поездка",9547
493,"Поездка на отдых в Испанию, поездка",9542
494,"Поездка на отдых в Таиланд, поездка",9549
495,"Полет в салоне экономического класса самолета, в расчете на 1000 км пути",9261
496,"Ползунки из хлопчатобумажного трикотажного полотна, шт.",4177
497,"Поливитамины без минералов отечественные, 10 шт.",7913
498,"Поливитамины с макро- и микроэлементами, 10 шт.",7965
499,"Полотенца",4050
500,"Полотенце кухонное, шт.",4056
501,"Полотенце личное, шт.",4052
502,"Полуботинки мужские с верхом из искусственной кожи, пара",4753
503,"Полуботинки, туфли мужские с верхом из натуральной кожи, пара",4752
504,"Полуфабрикаты мясные",140
505,"Пользование общественным туалетом, посещение",9993
506,"Помидоры свежие, кг",2623
507,"Помывка в бане в общем отделении, билет",9115
508,"Порошок стиральный, кг",5101
509,"Посещение детского ясли-сада, день",9513
510,"Посреднические и прочие услуги",9990
511,"Постановка набоек, пара",9101
512,"Услуги почтовой связи",9310
513,"Пребывание пациента в круглосуточном стационаре, койко-день",9723
514,"Предоставление абоненту в постоянное пользование абонентской линии независимо от ее типа, месяц",9323
515,"Предоставление междугородных телефонных соединений (разговоров) автоматическим способом на расстояние 1201-3000 км, минута",9333
516,"Предоставление междугородных телефонных соединений (разговоров) автоматическим способом на расстояние 601-1200 км, минута",9332
517,"Предоставление местного соединения (разговора) по сотовой связи, минута",9362
518,"Предоставление местного телефонного соединения при повременной системе оплаты услуг связи, минута",9322
519,"Прививка животного, шт.",9782
520,"Проводное вещание",9350
521,"Продовольственные товары (без алкогольных напитков)",5
522,"Продовольственные товары (без овощей, картофеля и фруктов)",72
