Code,Day,Region_code,Item_code,MoM,YoY,Calc,Date
10010070485,01/01/10 00:00:00,7,485,100.0,122.1,0,2010-01-01
10010070486,01/01/10 00:00:00,7,486,100.0,99.470001,0,2010-01-01
10010070487,01/01/10 00:00:00,7,487,100.0,100.0,0,2010-01-01
10010070488,01/01/10 00:00:00,7,488,100.0,110.51,0,2010-01-01
10010070489,01/01/10 00:00:00,7,489,100.0,106.99,0,2010-01-01
10010070496,01/01/10 00:00:00,7,496,100.0,118.61,0,2010-01-01
10010070500,01/01/10 00:00:00,7,500,100.0,99.309998,0,2010-01-01
10010070501,01/01/10 00:00:00,7,501,100.0,112.83,0,2010-01-01
10010070502,01/01/10 00:00:00,7,502,98.309998,112.83,0,2010-01-01
10010070503,01/01/10 00:00:00,7,503,100.55,108.42,0,2010-01-01
10010070505,01/01/10 00:00:00,7,505,100.0,100.0,0,2010-01-01
10010070507,01/01/10 00:00:00,7,507,104.96,101.31,0,2010-01-01
10010070508,01/01/10 00:00:00,7,508,100.74,110.87,0,2010-01-01
10010070509,01/01/10 00:00:00,7,509,100.0,93.849998,0,2010-01-01
10010070511,01/01/10 00:00:00,7,511,101.52,132.64999,0,2010-01-01
10010070514,01/01/10 00:00:00,7,514,100.0,109.09,0,2010-01-01
10010070518,01/01/10 00:00:00,7,518,100.0,122.22,0,2010-01-01
10010070519,01/01/10 00:00:00,7,519,100.0,100.0,0,2010-01-01
10010070527,01/01/10 00:00:00,7,527,100.0,100.0,0,2010-01-01
10010070528,01/01/10 00:00:00,7,528,100.0,103.53,0,2010-01-01
10010070533,01/01/10 00:00:00,7,533,100.0,100.0,0,2010-01-01
10010070535,01/01/10 00:00:00,7,535,100.0,100.0,0,2010-01-01
10010070538,01/01/10 00:00:00,7,538,101.13,108.55,0,2010-01-01
10010070539,01/01/10 00:00:00,7,539,103.17,96.620003,0,2010-01-01
10010070540,01/01/10 00:00:00,7,540,100.0,127.27,0,2010-01-01
10010070541,01/01/10 00:00:00,7,541,100.0,115.38,0,2010-01-01
10010070543,01/01/10 00:00:00,7,543,108.01,108.01,0,2010-01-01
10010070544,01/01/10 00:00:00,7,544,100.0,100.0,0,2010-01-01
10010070548,01/01/10 00:00:00,7,548,100.0,124.13,0,2010-01-01
10010070552,01/01/10 00:00:00,7,552,99.010002,97.690002,0,2010-01-01
10010070554,01/01/10 00:00:00,7,554,100.0,122.79,0,2010-01-01
10010070555,01/01/10 00:00:00,7,555,100.0,104.81,0,2010-01-01
10010070558,01/01/10 00:00:00,7,558,100.0,122.73,0,2010-01-01
10010070559,01/01/10 00:00:00,7,559,100.0,116.76,0,2010-01-01
10010070560,01/01/10 00:00:00,7,560,108.09,131.42,0,2010-01-01
10010070561,01/01/10 00:00:00,7,561,104.92,112.46,0,2010-01-01
10010070563,01/01/10 00:00:00,7,563,100.0,107.36,0,2010-01-01
10010070565,01/01/10 00:00:00,7,565,108.01,108.01,0,2010-01-01
10010070566,01/01/10 00:00:00,7,566,101.05,104.97,0,2010-01-01
10010070567,01/01/10 00:00:00,7,567,100.0,107.24,0,2010-01-01
10010070568,01/01/10 00:00:00,7,568,100.0,109.92,0,2010-01-01
10010070569,01/01/10 00:00:00,7,569,100.0,118.73,0,2010-01-01
10010070570,01/01/10 00:00:00,7,570,100.0,109.3,0,2010-01-01
10010070571,01/01/10 00:00:00,7,571,97.75,106.26,0,2010-01-01
10010070572,01/01/10 00:00:00,7,572,108.05,130.84,0,2010-01-01
10010070573,01/01/10 00:00:00,7,573,100.0,97.400002,0,2010-01-01
10010070574,01/01/10 00:00:00,7,574,106.18,112.4,0,2010-01-01
10010070575,01/01/10 00:00:00,7,575,100.0,106.74,0,2010-01-01
10010070577,01/01/10 00:00:00,7,577,100.0,99.720001,0,2010-01-01
10010070578,01/01/10 00:00:00,7,578,100.0,100.83,0,2010-01-01
10010070580,01/01/10 00:00:00,7,580,100.0,105.79,0,2010-01-01
10010070584,01/01/10 00:00:00,7,584,100.0,110.29,0,2010-01-01
10010070587,01/01/10 00:00:00,7,587,97.779999,109.56,0,2010-01-01
10010070588,01/01/10 00:00:00,7,588,100.92,99.379997,0,2010-01-01
10010070589,01/01/10 00:00:00,7,589,100.0,100.0,0,2010-01-01
10010070590,01/01/10 00:00:00,7,590,100.0,100.0,0,2010-01-01
10010070591,01/01/10 00:00:00,7,591,100.0,111.79,0,2010-01-01
10010070592,01/01/10 00:00:00,7,592,100.0,110.63,0,2010-01-01
10010070593,01/01/10 00:00:00,7,593,100.0,108.75,0,2010-01-01
10010070595,01/01/10 00:00:00,7,595,100.0,107.43,0,2010-01-01
10010070596,01/01/10 00:00:00,7,596,100.0,104.08,0,2010-01-01
10010070597,01/01/10 00:00:00,7,597,99.489998,110.6,0,2010-01-01
10010070598,01/01/10 00:00:00,7,598,100.0,113.67,0,2010-01-01
10010070599,01/01/10 00:00:00,7,599,100.0,105.91,0,2010-01-01
10010070601,01/01/10 00:00:00,7,601,100.0,134.95,0,2010-01-01
10010070602,01/01/10 00:00:00,7,602,100.0,110.18,0,2010-01-01
10010070605,01/01/10 00:00:00,7,605,100.0,111.81,0,2010-01-01
10010070606,01/01/10 00:00:00,7,606,100.0,105.25,0,2010-01-01
10010070608,01/01/10 00:00:00,7,608,100.36,108.84,0,2010-01-01
10010070609,01/01/10 00:00:00,7,609,100.0,117.15,0,2010-01-01
10010070610,01/01/10 00:00:00,7,610,100.0,121.1,0,2010-01-01
10010070617,01/01/10 00:00:00,7,617,96.230003,96.709999,0,2010-01-01
10010070618,01/01/10 00:00:00,7,618,100.0,121.71,0,2010-01-01
10010070620,01/01/10 00:00:00,7,620,101.82,99.889999,0,2010-01-01
10010070621,01/01/10 00:00:00,7,621,104.71,104.78,0,2010-01-01
10010070623,01/01/10 00:00:00,7,623,100.0,104.76,0,2010-01-01
10010070628,01/01/10 00:00:00,7,628,100.0,173.22,0,2010-01-01
10010070629,01/01/10 00:00:00,7,629,105.77,119.65,0,2010-01-01
10010070634,01/01/10 00:00:00,7,634,100.0,114.93,0,2010-01-01
10010070636,01/01/10 00:00:00,7,636,100.0,101.63,0,2010-01-01
10010070638,01/01/10 00:00:00,7,638,100.0,108.88,0,2010-01-01
10010070641,01/01/10 00:00:00,7,641,100.0,109.98,0,2010-01-01
10010070642,01/01/10 00:00:00,7,642,100.0,106.96,0,2010-01-01
10010070646,01/01/10 00:00:00,7,646,100.0,109.75,0,2010-01-01
10010070647,01/01/10 00:00:00,7,647,100.0,111.38,0,2010-01-01
10010070651,01/01/10 00:00:00,7,651,100.0,107.33,0,2010-01-01
10010070652,01/01/10 00:00:00,7,652,100.0,120.76,0,2010-01-01
10010070653,01/01/10 00:00:00,7,653,100.0,123.05,0,2010-01-01
10010070654,01/01/10 00:00:00,7,654,100.0,111.74,0,2010-01-01
10010070655,01/01/10 00:00:00,7,655,100.0,110.96,0,2010-01-01
10010070659,01/01/10 00:00:00,7,659,101.97,107.47,0,2010-01-01
10010070661,01/01/10 00:00:00,7,661,100.0,105.7,0,2010-01-01
10010070663,01/01/10 00:00:00,7,663,101.1,112.37,0,2010-01-01
10010070664,01/01/10 00:00:00,7,664,100.0,100.0,0,2010-01-01
