item_code,item_name,item_weight,source_component,source_subcomponent,subcomponent_code,external_var,mapping_source
167,"Виноград, кг",0.00338,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
727,"Шиномонтаж колес легкового автомобиля, услуга",0.00355,Услуги,,12,u_bit,service_name_rule
1042,"Пиво, л",0.00372,Продовольственные товары,Алкогольные напитки,11,p_alco,micro_sprav_subcomponent_exact
469,"Печень говяжья, свиная, кг",0.00275,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
254,"Кексы, рулеты, кг",0.00333,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
415,"Обои виниловые, 10 м",0.00248,Непродовольственные товары,Строительные материалы,38,n_str,micro_sprav_subcomponent_exact
734,"Шоколад, кг",0.0034,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
354,"Макаронные изделия из пшеничной муки высшего сорта, кг",0.00382,Продовольственные товары,Макаронные и крупяные изделия,18,p_mak_kr,micro_sprav_subcomponent_exact
395,"Мясокопчености, кг",0.00303,Продовольственные товары,Мясопродукты,26,p_meat,micro_sprav_subcomponent_exact
606,"Стол обеденный, шт.",0.00356,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
320,"Крупа гречневая-ядрица, кг",0.00337,Продовольственные товары,Макаронные и крупяные изделия,18,p_mak_kr,micro_sprav_subcomponent_exact
298,"Конфеты шоколадные натуральные и с добавками, кг",0.003,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
665,"Ужин в ресторане, на 1 человека",0.00313,Продовольственные товары,Общественное питание,28,p_ob_pit,micro_sprav_subcomponent_exact
209,"Дизельное топливо, л",0.00286,Непродовольственные товары,Топливо моторное,42,n_topl,micro_sprav_subcomponent_exact
378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302,Продовольственные товары,Молоко и молочная продукция,24,p_milk,micro_sprav_subcomponent_exact
310,"Кофе натуральный в зернах и молотый, кг",0.00406,Продовольственные товары,"Чай, кофе, какао",50,p_tea,micro_sprav_subcomponent_exact
541,"Регулировка развала-схождения колес легкового автомобиля, один вид работы",0.00423,Услуги,,12,u_bit,service_name_rule
501,"Полотенце личное, шт.",0.00239,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
959,"Брюки женские из джинсовой ткани (джинсы), шт.",0.00282,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
524,"Продукция предприятий общественного питания быстрого обслуживания (сэндвич типа ""Гамбургер""), шт.",0.00269,Продовольственные товары,Общественное питание,28,p_ob_pit,micro_sprav_subcomponent_exact
106,"Абонентская плата за телевизионную антенну, месяц",0.00219,Услуги,,48,u_sv,service_name_rule
433,"Овощи натуральные консервированные, маринованные, кг",0.0028,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
