Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
serv_MA3,h=2,-0.10913060820544072,0.2456492439052381,0.10913060820544072,115,False
reg_construction_L10,h=2,0.10893554380171937,0.26402407097353386,0.10893554380171937,107,False
nonprod_D12,h=2,0.10827655828282955,0.27156777572083673,0.10827655828282955,105,False
reg_services_L12,h=2,-0.10799402071205172,0.302827732763628,0.10799402071205172,93,False
reg_wage,h=2,0.10779844589536142,0.24732383351375875,0.10779844589536142,117,False
reg_wage_L0,h=2,0.10779844589536142,0.24732383351375875,0.10779844589536142,117,False
reg_ppi_L10,h=2,-0.10776464589039778,0.2692227590494751,0.10776464589039778,107,False
reg_ind_prod_L10,h=2,-0.10757974131895873,0.2700500073369091,0.10757974131895873,107,False
mom_L5,h=2,-0.1069093163799678,0.26188454924996535,0.1069093163799678,112,False
brent_pct_MA3,h=2,0.10582826367545003,0.2603144604838793,0.10582826367545003,115,False
reg_income_real,h=2,0.10565487924050829,0.26110060848850536,0.10565487924050829,115,False
reg_income_real_L0,h=2,0.10565487924050829,0.26110060848850536,0.10565487924050829,115,False
ibved_q_L11,h=2,-0.10541499852191184,0.3922492880115072,0.10541499852191184,68,False
reg_ppi_L11,h=2,-0.10537769046755564,0.2823468419218554,0.10537769046755564,106,False
usd_L11,h=2,-0.10537705885958351,0.28234974282510367,0.10537705885958351,106,False
reg_construction_L4,h=2,-0.10525059006089717,0.26722573560673124,0.10525059006089717,113,False
brent_pct_L0,h=2,0.10518969117801653,0.25901642880435605,0.10518969117801653,117,False
brent_pct,h=2,0.10518969117801653,0.25901642880435605,0.10518969117801653,117,False
reg_ppi_L5,h=2,0.10385085116151664,0.27585682425380537,0.10385085116151664,112,False
ibved_m_L9,h=2,0.10274745634940956,0.5509684100352138,0.10274745634940956,36,False
reg_ppi_MA6,h=2,0.1026534589091459,0.2814611457577573,0.1026534589091459,112,False
reg_income_nom_L0,h=2,0.1026249677579881,0.2751003652473237,0.1026249677579881,115,False
reg_income_nom,h=2,0.1026249677579881,0.2751003652473237,0.1026249677579881,115,False
reg_shipped_L1,h=2,-0.10251648016387298,0.2734873159598192,0.10251648016387298,116,False
brent_L1,h=2,0.10236052837491483,0.3108687420258712,0.10236052837491483,100,False
ibved_q_L6,h=2,0.1009692996693729,0.39534318273098124,0.1009692996693729,73,False
reg_shipped_L4,h=2,0.09919881791711661,0.29585927918919247,0.09919881791711661,113,False
ki_L6,h=2,-0.09914539804615304,0.30053328125378376,0.09914539804615304,111,False
nonprod_D3,h=2,0.09834317169349842,0.29788867589990825,0.09834317169349842,114,False
reg_retail_L4,h=2,0.09809005027887645,0.30131709905564663,0.09809005027887645,113,False
reg_invest_prices_D3,h=2,-0.09784308933782983,0.3003642108148808,0.09784308933782983,114,False
reg_retail_D6,h=2,-0.09753498579245058,0.30849125233487573,0.09753498579245058,111,False
ibved_m_L5,h=2,0.09746069449186501,0.5496552819177848,0.09746069449186501,40,False
reg_invest_prices_L11,h=2,0.09722162613275807,0.32147045294826415,0.09722162613275807,106,False
Ruonia_D6,h=2,0.09680173758983714,0.3121597705336922,0.09680173758983714,111,False
reg_ind_prod_L9,h=2,0.09671086720629145,0.31940070742447013,0.09671086720629145,108,False
brent_pct_STD3,h=2,0.09623418289519124,0.3062607490965534,0.09623418289519124,115,False
ki_i_L5,h=2,0.09576006384920682,0.31520005562145775,0.09576006384920682,112,False
reg_shipped_L3,h=2,0.0954689069855876,0.31230109706404335,0.0954689069855876,114,False
ki_L7,h=2,-0.09540129682662077,0.3214851137720898,0.09540129682662077,110,False
ki_i_STD3,h=2,-0.0951635462915188,0.31169823997667856,0.0951635462915188,115,False
reg_agri_prices_L1,h=2,-0.0951296585701388,0.30973046189821546,0.0951296585701388,116,False
