Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
reg_retail_L3,0.17752483320956292,0.057689524324692834,0.1862437328464643,0.04627287081804595,0.17752483320956292,115
reg_retail_L1,-0.1765938654376769,0.056826439537166734,-0.19310312523420517,0.036980474610325643,0.1765938654376769,117
reg_shipped_L6,0.17610289549765085,0.06326373484911386,0.006441526524730554,0.9462579892168423,0.17610289549765085,112
brent_L1,0.17581602279794273,0.07863489209984839,0.1604135738575845,0.10905268436657757,0.17581602279794273,101
ki_i_L1,0.17575782592568318,0.05802845036522537,0.3708217797140943,3.859840210698839e-05,0.17575782592568318,117
reg_income_nom_L8,0.17556487791588507,0.06915023538625494,0.01967733790023539,0.8398127975018209,0.17556487791588507,108
reg_retail_MA3,-0.17420458021690835,0.06144926025002213,-0.08243478893497315,0.3790038171394803,0.17420458021690835,116
prod_MA12,0.1731191470204117,0.07455129960961993,0.249101683517186,0.009670759883750886,0.1731191470204117,107
prod_L7,-0.17276661983376299,0.06979093358672854,-0.13968142573449693,0.14369887075112803,0.17276661983376299,111
reg_construction_L1,-0.17255040469958957,0.06283481716923298,-0.11705394314264861,0.2088030294986775,0.17255040469958957,117
reg_income_real_L7,0.17129076098115315,0.0749292019198051,0.020530864019015205,0.8321853261360715,0.17129076098115315,109
reg_wage_L12,0.17083192703528663,0.07996954376881375,0.24888252813523096,0.010092728092068473,0.17083192703528663,106
reg_ind_prod_STD6,0.17018301184291804,0.07152559803899007,0.14830942986293844,0.11695004767856997,0.17018301184291804,113
reg_ppi_D1,0.16958063357234013,0.06757004065931,0.14481605962195848,0.11927331864813405,0.16958063357234013,117
reg_unknown20_L5,-0.16929244830613244,0.14650319656852628,-0.004699986473225338,0.9680774685050486,0.16929244830613244,75
mom_L10,0.16897309979380334,0.08043280485204504,0.3235242971516548,0.0006369418451389386,0.16897309979380334,108
reg_shipped_MA3,-0.16881457310415993,0.0700599468830122,-0.11571274298121641,0.21611402941480112,0.16881457310415993,116
reg_ind_prod_D3,-0.16743101746359235,0.07369040658089782,-0.12911925909244876,0.16904222753886902,0.16743101746359235,115
reg_ppi_L1,-0.1660755807566056,0.07352725002957891,-0.051254859714647806,0.5831327274452267,0.1660755807566056,117
reg_retail_D3,-0.16330850049228723,0.08117924785326346,-0.2392246234907548,0.010027660739869087,0.16330850049228723,115
usd_L2,-0.1624007932075107,0.08155220431933412,-0.18133647143811543,0.051404749023645425,0.1624007932075107,116
serv_MA6,-0.16196245971235804,0.08655134295575649,-0.11430514415799575,0.22800030322245726,0.16196245971235804,113
month_sin,0.16101623524421552,0.08153483956088518,0.06989745555638012,0.45197975583581496,0.16101623524421552,118
reg_income_nom_L7,0.16065866102752926,0.09514765253631097,0.07137757556285215,0.4607855845724117,0.16065866102752926,109
reg_agri_prices_L12,-0.1601025088661979,0.10112886452084706,-0.2089285630272076,0.031608556772488534,0.1601025088661979,106
reg_shipped_L1,-0.159877137703851,0.08509443499512864,0.05403450948262318,0.5628454188632253,0.159877137703851,117
brent_L6,0.1591697954119737,0.11940780504626242,0.21337313772160943,0.03586366823987451,0.1591697954119737,97
mom_L3,-0.1582410703044007,0.0912063762275016,-0.09316146397652983,0.3220337743937676,0.1582410703044007,115
brent_pct_L8,0.15811884185661554,0.09898053975716709,0.20934010282490834,0.028172463094538674,0.15811884185661554,110
reg_construction_D1,0.1577847733808753,0.08931178628317135,0.18551602272294893,0.045227074361685854,0.1577847733808753,117
reg_ind_prod_L9,0.1575661002269257,0.1017744033432445,0.18392503845498498,0.05556118085368329,0.1575661002269257,109
reg_profit_L6,0.15666161453802602,0.0990343434527177,0.3495267164906963,0.0001584677117204854,0.15666161453802602,112
reg_agri_prices_STD6,-0.15651218901360164,0.09782964388003983,-0.16513299877388898,0.08048288161580433,0.15651218901360164,113
mom_L1,0.15631133002167466,0.09238009917773812,0.283682760996338,0.0019385558950028945,0.15631133002167466,117
reg_wage_L10,0.156284857572825,0.10626684203224893,0.2389654383835476,0.012749128844136273,0.156284857572825,108
