Date,Year,Month,basket_weight,freeze_weight,freeze_items,total_items,FDI_weighted_pct,FDI_simple_pct,Active_base_pct,Avg_abs_MoM_pct,Headline_MoM,Included_MoM,Implied_active_MoM
2020-12-01,2020,12,0.8872499999999992,0.26849999999999963,126,425,30.26204564666102,29.64705882352941,69.73795435333898,1.5451664938630598,100.9,101.03315787852353,101.29054545454547
2021-01-01,2021,1,0.8940899999999994,0.1947699999999997,126,460,21.784160431276476,27.391304347826086,78.21583956872352,1.027819582681834,100.6,100.72822801879006,100.76710804781787
2021-02-01,2021,2,0.8940899999999994,0.1878299999999997,124,460,21.00795221957519,26.956521739130434,78.99204778042481,1.2484211077184633,101.03,100.96103140824749,101.30392872313313
2021-03-01,2021,3,0.8940899999999994,0.2031399999999996,136,460,22.720307798991122,29.565217391304348,77.27969220100888,1.8605749606415476,101.31,101.36013216168395,101.69514132715827
2021-04-01,2021,4,0.8940899999999994,0.1696699999999996,115,460,18.976836783768942,25.0,81.02316321623105,1.2422787672717523,100.86,100.87126662525026,101.06142486402915
2021-05-01,2021,5,0.8940899999999994,0.17660999999999968,107,460,19.753044995470233,23.26086956521739,80.24695500452977,1.4135821584292414,100.41,100.39052771865248,100.51092281317946
2021-06-01,2021,6,0.8940899999999994,0.2463899999999998,128,460,27.55762842666845,27.82608695652174,72.44237157333154,1.418733335715643,100.56,100.35348131829011,100.77302825382122
2021-07-01,2021,7,0.8940899999999994,0.1319499999999997,117,460,14.758022123052466,25.43478260869565,85.24197787694753,1.8866887005223163,100.22,100.24808934598306,100.25808880258221
2021-08-01,2021,8,0.8940899999999994,0.17171999999999948,105,460,19.206120189242647,22.82608695652174,80.79387981075735,2.0359419491773747,100.16,100.07886304808241,100.19803480210972
2021-09-01,2021,9,0.8940899999999994,0.1814699999999996,110,460,20.296614434788413,23.91304347826087,79.70338556521159,2.094682731827893,100.73,101.1869761615721,100.91589584912015
2021-10-01,2021,10,0.8940899999999994,0.1724899999999997,107,460,19.29224127324988,23.26086956521739,80.70775872675011,2.4550102493373163,100.92,101.15913763957766,101.13991518847007
2021-11-01,2021,11,0.8940899999999994,0.1846399999999997,111,460,20.65116487154535,24.130434782608695,79.34883512845465,1.9240743742799953,100.86,100.9791132242839,101.08382183381492
2021-12-01,2021,12,0.8940899999999994,0.1659399999999996,107,460,18.55965283137041,23.26086956521739,81.44034716862959,1.7796414697625524,100.21,100.23024836235726,100.2578574469546
2022-01-01,2022,1,0.9493599999999998,0.21405,134,484,22.546768349203678,27.685950413223143,77.45323165079633,2.0904850017064134,101.22,101.31102001219769,101.57514408888768
2022-02-01,2022,2,0.9493599999999998,0.2177,113,484,22.931237886576223,23.34710743801653,77.06876211342377,1.7146928946026792,100.94,100.92399632761018,101.21969001995463
2022-03-01,2022,3,0.9493599999999998,0.13104,80,484,13.802983062273533,16.528925619834713,86.19701693772646,6.18841720692888,105.55,105.49447026252423,106.43873790204321
2022-04-01,2022,4,0.9497199999999998,0.18613,93,485,19.598407951817382,19.175257731958766,80.40159204818262,4.710912634523859,103.28,103.39223208181359,104.07952120902578
2022-05-01,2022,5,0.9497199999999998,0.18144,98,485,19.104578191466963,20.20618556701031,80.89542180853303,3.3034132139156807,100.68,100.68012782976035,100.84059145103349
2022-06-01,2022,6,0.9497199999999998,0.24938,130,485,26.258265594069837,26.804123711340207,73.74173440593016,2.4420590975655982,99.32,99.45447609175336,99.07786275237741
2022-07-01,2022,7,0.9497199999999998,0.12589999999999998,106,485,13.256538769321486,21.855670103092784,86.74346123067852,2.9988362949395606,99.230003,99.10272205910164,99.1123284809303
2022-08-01,2022,8,0.9497199999999998,0.20968,130,485,22.078086172766714,26.804123711340207,77.92191382723328,1.9997840960072442,99.43,99.56092937743756,99.26849845954274
2022-09-01,2022,9,0.9497199999999998,0.1561,92,485,16.436423366887084,18.969072164948454,83.56357663311292,2.0415342512003547,100.33,100.55169175225329,100.39490889846526
2022-10-01,2022,10,0.9497199999999998,0.1975,99,485,20.79560291454324,20.412371134020617,79.20439708545676,2.019846181158657,100.66,100.99555498971276,100.833287070272
2022-11-01,2022,11,0.9497199999999998,0.2064099999999999,118,485,21.733774165017053,24.329896907216494,78.26622583498295,1.7984756733352987,100.26,100.32513054934086,100.33219948608253
2022-12-01,2022,12,0.9497199999999998,0.20548,132,485,21.635850566482755,27.216494845360824,78.36414943351724,2.003489463989386,100.57,100.77824073017311,100.72737342792647
2023-01-01,2023,1,0.9518699999999986,0.2501399999999996,128,502,26.27879857543572,25.49800796812749,73.72120142456428,1.6626626291510407,101.13,100.94901984849822,101.53280193236715
2023-02-01,2023,2,0.9518699999999986,0.2376599999999995,135,502,24.967695168457865,26.89243027888446,75.03230483154213,1.9154827222940114,100.75,100.68259386064274,100.99956945436216
2023-03-01,2023,3,0.9518699999999986,0.2133399999999996,119,502,22.412724426654894,23.705179282868528,77.58727557334511,1.6596840526017214,100.39,100.29020616349922,100.502659743003
2023-04-01,2023,4,0.9518699999999986,0.3001799999999994,152,502,31.535818966875713,30.278884462151396,68.46418103312429,1.6126729770136687,100.72,100.70910017310136,101.05164480044192
2023-05-01,2023,5,0.9518699999999986,0.2232299999999995,117,502,23.45173185413973,23.306772908366533,76.54826814586028,2.4956665345372824,99.75,99.89838481070944,99.67340867918314
2023-06-01,2023,6,0.9518699999999986,0.2492099999999996,136,502,26.181096158088813,27.091633466135455,73.81890384191118,2.0282256811959605,100.43,100.3867803595449,100.58250661770985
2023-07-01,2023,7,0.9518699999999986,0.2465899999999993,133,502,25.905848487713623,26.49402390438247,74.09415151228637,1.7399943011335595,100.5,100.54152186662044,100.67481709392014
2023-08-01,2023,8,0.9518699999999986,0.2283299999999994,128,502,23.987519304106623,25.49800796812749,76.01248069589337,2.1579231564604417,99.93,100.16489865744272,99.90790985985572
2023-09-01,2023,9,0.9512299999999986,0.1826799999999996,99,501,19.20460876969817,19.760479041916167,80.79539123030183,2.8401555844748385,101.75,102.02776447691936,102.1659651291393
2023-10-01,2023,10,0.9518699999999986,0.1814999999999996,105,502,19.06772983705757,20.916334661354583,80.93227016294243,1.921241703572968,100.46,100.56887963652599,100.56837649441177
2023-11-01,2023,11,0.9518699999999986,0.1941899999999997,107,502,20.40089508021053,21.314741035856574,79.59910491978947,2.3628577802430994,100.74,100.87445055976131,100.92965869496356
2023-12-01,2023,12,0.9512299999999986,0.2408299999999995,128,501,25.317746496641174,25.54890219560878,74.68225350335882,1.9238426247805474,100.29,100.3398907469592,100.38831179617118
2024-01-01,2024,1,0.9564999999999992,0.2096699999999997,120,507,21.920543648719274,23.668639053254438,78.07945635128073,1.8189230790695246,100.87,100.70890588067957,101.11424956147987
2024-02-01,2024,2,0.9564999999999992,0.2501499999999998,119,507,26.152639832723473,23.471400394477318,73.84736016727652,1.8113387661160483,100.53,100.45101272369054,100.71769660932965
2024-03-01,2024,3,0.9564999999999992,0.2267899999999999,122,507,23.710402509147944,24.06311637080868,76.28959749085206,1.898475364485103,100.53,100.43467549510716,100.69472119060997
2024-04-01,2024,4,0.9564999999999992,0.2132299999999998,121,507,22.29273392577104,23.86587771203156,77.70726607422895,1.9354922026973347,100.38,100.47094857095661,100.48901475910503
2024-05-01,2024,5,0.9564999999999992,0.2342199999999998,127,507,24.487192890747515,25.04930966469428,75.51280710925249,2.469139328269734,100.94,100.82999178495557,101.24482195270532
2024-06-01,2024,6,0.9564999999999992,0.2434299999999998,128,507,25.450078410872973,25.2465483234714,74.54992158912702,1.69292341468897,100.18,100.10322337046524,100.24144894610629
2024-07-01,2024,7,0.9564999999999992,0.17808999999999992,118,507,18.61892315734449,23.274161735700197,81.38107684265552,2.3272344112075274,101.07,101.08925052700471,101.31480196811448
2024-08-01,2024,8,0.9564999999999992,0.2131299999999999,122,507,22.282279142707797,24.06311637080868,77.7177208572922,1.842947488029273,100.09,100.18264393904862,100.11580370475
2024-09-01,2024,9,0.9564999999999992,0.2085399999999999,102,507,21.802404600104555,20.118343195266274,78.19759539989545,2.4117353486565607,100.62,100.93556856875065,100.7928632547195
2024-10-01,2024,10,0.9564999999999992,0.18818999999999972,104,507,19.674856246732865,20.51282051282051,80.32514375326713,1.9262815366335595,101.02,101.09518777857815,101.26983899727973
2024-11-01,2024,11,0.9564999999999992,0.2008699999999999,112,507,21.00052273915317,22.090729783037474,78.99947726084683,2.5303633301202306,101.5,101.73639374170413,101.89874674112991
2024-12-01,2024,12,0.9564999999999992,0.2282199999999999,114,507,23.859905906952438,22.485207100591715,76.14009409304757,2.040015910412963,100.91,101.11593171697857,101.19516532103037
2025-01-01,2025,1,0.9695899999999995,0.2227299999999999,133,529,22.971565300797245,25.14177693761815,77.02843469920276,1.7282336492022408,100.84,100.7173419033509,101.09050638673915
2025-02-01,2025,2,0.9695899999999995,0.18666,96,529,19.251436174052962,18.147448015122876,80.74856382594703,2.117753935756351,101.34,101.27363367673965,101.65947223889748
2025-03-01,2025,3,0.9695899999999995,0.17086,103,529,17.62188141379347,19.47069943289225,82.37811858620653,2.201613803081714,100.81,100.74571279888406,100.98327081742266
2025-04-01,2025,4,0.9695899999999995,0.2300699999999999,112,529,23.728586309677286,21.17202268431002,76.27141369032272,1.8972543246733162,100.53,100.40996584055117,100.69488681847685
2025-05-01,2025,5,0.9695899999999995,0.27597,138,529,28.462546024608354,26.08695652173913,71.53745397539164,1.749285973813674,99.93,99.75569798847967,99.90214915948215
2025-06-01,2025,6,0.9695899999999995,0.2388099999999999,121,529,24.629998246681588,22.873345935727787,75.3700017533184,1.7229200814674255,99.959999,99.84677762581092,99.94692716058184
2025-07-01,2025,7,0.9695899999999995,0.1797999999999999,108,529,18.54392062624408,20.415879017013232,81.45607937375593,2.6611047233572966,100.36,100.44695806606916,100.4419559629775
2025-08-01,2025,8,0.9695899999999995,0.20733000000000001,121,529,21.383265091430413,22.873345935727787,78.61673490856958,2.3386947164265304,99.43,99.71117697366928,99.27496352950438
2025-09-01,2025,9,0.9695899999999995,0.17349,100,529,17.893130085912613,18.90359168241966,82.10686991408738,2.339978276735527,101.0,101.32036032514775,101.21792488380856
2025-10-01,2025,10,0.9695899999999995,0.25268,131,529,26.06049979888408,24.763705103969755,73.93950020111592,1.4648496584535726,100.53,100.7454856379088,100.71680224853887
