Item_code,Item_name,Component,Subcomponent,Avg_weight,Observations,Freeze_months,PSI_pct,Weighted_PSI_pct,Mean_MoM,Mean_abs_MoM_pct,Freeze_spell_count,Max_freeze_spell,Avg_freeze_spell,Weighted_abs_MoM_pct,Avg_thaw_abs_move_pct,Is_education
964,"Лампа светодиодная, шт.",Непродовольственные товары,Электротовары и другие бытовые приборы,0.00039114285714285705,70,27,38.57142857142858,38.16654492330169,100.0354286,1.1534285428571434,18,4,1.5,0.0004551528555714288,1.476666333333334,False
339,"Легковой автомобиль иностранной марки новый, шт.",Непродовольственные товары,Легковые автомобили,0.004086470588235294,34,13,38.23529411764706,32.8846984309774,99.83911794117647,0.5297055882352946,7,3,1.8571428571428572,0.002065696344117649,1.077143142857143,False
623,"Тарелка обеденная, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0010361016949152542,118,44,37.28813559322034,35.50629805332897,100.4699151694915,0.7036441525423727,22,8,2.0,0.0007500322742372879,1.241818136363637,False
809,"Шарф шерстяной, полушерстяной или из смесовой пряжи для взрослых, шт.",Непродовольственные товары,Трикотажные изделия,0.0007108571428571426,70,26,37.142857142857146,37.640675241157574,100.42457155714285,1.1948570142857138,12,4,2.1666666666666665,0.0008425699101428567,2.4558330000000006,False
795,"Варежки (перчатки) детские, пара",Непродовольственные товары,Трикотажные изделия,0.0001814285714285715,70,26,37.142857142857146,38.582677165354305,100.32671428571429,1.3972857142857147,10,8,2.6,0.0002445385760000001,1.4239994000000025,False
661,"Тюль, полотно гардинное, м",Непродовольственные товары,Галантерея,0.002679491525423728,118,43,36.440677966101696,38.648870896324894,100.41101698305084,0.6667796271186442,24,7,1.7916666666666667,0.001872906734237288,1.2878259130434788,False
295,"Конструктор детский пластмассовый, набор",Непродовольственные товары,Другие непродовольственные товары,0.0010869491525423627,118,43,36.440677966101696,43.96538281615502,100.21279652542373,0.8407627966101692,15,15,2.8666666666666667,0.0007234398873728676,1.1526664000000002,False
336,"Лампа энергосберегающая, шт.",Непродовольственные товары,Электротовары и другие бытовые приборы,0.0003413559322033899,118,43,36.440677966101696,33.93743793445878,100.3122883983051,1.9860166864406783,15,8,2.8666666666666667,0.0007537354966949154,1.8066661999999998,False
258,"Кирпич красный, 1000 шт.",Непродовольственные товары,Строительные материалы,0.0003162711864406778,118,43,36.440677966101696,33.86923901393357,100.53008467796609,0.6965254915254236,20,6,2.15,0.00023001696923728815,0.7468422105263146,False
263,"Ковер, ковровое покрытие (палас) синтетический, м2",Непродовольственные товары,Другие непродовольственные товары,0.0018683050847457632,118,42,35.59322033898305,34.777283861017864,100.55576272033899,0.8208474491525422,19,14,2.210526315789474,0.0015026813602542373,2.015555666666667,False
399,"Набор фломастеров, набор",Непродовольственные товары,Другие непродовольственные товары,0.0004096610169491527,118,42,35.59322033898305,35.43649151841123,100.58940681355934,1.0805931864406781,23,5,1.826086956521739,0.00040708303567796615,1.8004346521739132,False
563,"Рюмка, фужер из простого стекла, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0009938983050847457,118,41,34.74576271186441,40.06650750341065,100.40601692372881,0.8258474830508474,28,4,1.4642857142857142,0.0007022872901694916,0.9164285357142852,False
374,"Мойка из нержавеющей стали для кухни, шт.",Непродовольственные товары,Строительные материалы,0.0006605084745762712,118,41,34.74576271186441,32.48652809853734,100.41186448305086,0.6694914491525423,25,4,1.64,0.0005006118344915253,1.1704166249999997,False
467,"Перчатки трикотажные женские, пара",Непродовольственные товары,Трикотажные изделия,0.00017186440677966107,118,41,34.74576271186441,32.593688362919124,100.3047456355932,1.0061018220338982,21,4,1.9523809523809523,0.00016397713779661016,1.296190571428571,False
489,"Подушка, шт.",Непродовольственные товары,Одежда и белье,0.0014905084745762713,118,40,33.89830508474576,36.934273368205595,100.52474579661016,0.6037287796610165,25,5,1.6,0.0009308032774576268,0.9403997599999986,False
714,"Цемент тарированный, 50 кг",Непродовольственные товары,Строительные материалы,0.0010005084745762715,118,40,33.89830508474576,37.92139590038961,100.62203395762712,0.7086440084745765,21,5,1.9047619047619047,0.0006144940009322036,0.9895000499999995,False
722,"Чашка чайная с блюдцем, комплект",Непродовольственные товары,Другие непродовольственные товары,0.00066135593220339,118,39,33.05084745762712,29.151717068170157,100.42635579661015,0.6453391186440672,26,5,1.5,0.00043113486669491485,0.883461653846154,False
1076,"Гипсокартон, м2",Непродовольственные товары,Строительные материалы,0.0005499999999999999,34,11,32.35294117647059,32.94117647058824,100.28235288235294,0.7876471176470591,6,3,1.8333333333333333,0.0004091412100000001,0.7416666666666695,False
458,"Пеленки для новорожденных, шт.",Непродовольственные товары,Одежда и белье,0.00031254237288135586,118,38,32.20338983050847,34.84273318872018,100.28771172881356,1.399745898305085,21,4,1.8095238095238095,0.00039955850220338993,1.8515002000000003,False
646,"Торты, кг",Продовольственные товары,Кондитерские изделия,0.002939491525423728,118,37,31.35593220338983,29.931384420227186,100.518644,0.8757627796610173,16,14,2.3125,0.002490830674661018,1.0462504375000012,False
690,"Установка пластиковых окон, м2",Услуги,,0.0011037288135593117,118,37,31.35593220338983,33.484336609336694,100.56271184745763,0.9096610338983045,20,5,1.85,0.0009897423766949019,1.81400005,False
335,"Лампа электрическая осветительная, шт.",Непродовольственные товары,Электротовары и другие бытовые приборы,0.00029423728813559333,118,37,31.35593220338983,39.91935483870967,100.76745768644066,1.1499999406779657,18,4,2.0555555555555554,0.0003640796490677965,2.813888777777775,False
979,"Кресло мягкое, шт.",Непродовольственные товары,Мебель,0.0025099999999999996,58,18,31.03448275862069,26.974859183953843,100.6874137586207,1.0522414137931027,11,3,1.6363636363636365,0.0028491999717241362,1.8430005999999992,False
338,"Легковой автомобиль импортный подержанный, шт.",Непродовольственные товары,Легковые автомобили,0.008694237288135594,118,36,30.508474576271187,30.294759825327507,100.49457629661016,0.8684745508474581,15,7,2.4,0.007006021181101698,1.1885711428571426,False
146,"Булочные изделия сдобные из муки высшего сорта штучные, кг",Продовольственные товары,Хлеб и хлебобулочные изделия,0.0020579661016949156,118,36,30.508474576271187,30.64157469939054,100.76474563559321,0.9893221610169485,14,10,2.5714285714285716,0.0019646239999999986,1.746428142857143,False
442,"Одеяло стеганое, шт.",Непродовольственные товары,Одежда и белье,0.0019166101694915256,118,36,30.508474576271187,27.896179695790586,100.41771186440677,0.7058474576271189,23,3,1.565217391304348,0.0013798474611864413,0.7373911739130429,False
397,"Набор корпусной мебели, комплект",Непродовольственные товары,Мебель,0.00150271186440678,118,36,30.508474576271187,42.11594856756146,100.64559316101695,1.0645763305084741,12,10,3.0,0.001240401696271186,1.621666583333333,False
584,"Сковорода, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0015003389830508473,118,36,30.508474576271187,31.987121554450976,100.36525405084747,1.3674578135593227,20,5,1.8,0.0019236375277118655,1.7720004000000003,False
1046,"Сигареты с фильтром, пачка",Непродовольственные товары,Табачные изделия,0.007765652173913041,46,14,30.434782608695656,31.011701472481956,100.51847832608696,0.6032608043478254,12,3,1.1666666666666667,0.004690114695434776,0.8745456363636364,False
1070,"Трикотажный головной убор для взрослых, шт.",Непродовольственные товары,Трикотажные изделия,0.0005664705882352588,34,10,29.411764705882355,29.075804776740128,100.15264729411764,1.323235058823529,4,4,2.5,0.0007475998814705443,2.6724989999999984,False
692,"Учебник, учебное пособие, дидактический материал для общеобразовательной школы, шт.",Непродовольственные товары,Печатные издания,0.0018194915254237287,118,34,28.8135593220339,29.33395435491384,100.5899150677966,0.816864593220339,18,5,1.8888888888888888,0.0016818266146610174,0.9600003333333341,False
313,"Краски масляные, эмали отечественные, кг",Непродовольственные товары,Строительные материалы,0.0012145762711864411,118,34,28.8135593220339,27.449065029305046,101.01059323728815,1.1853389661016944,23,6,1.4782608695652173,0.001468271160084745,1.8990907272727264,False
237,"Игрушки пластмассовые для детей ясельного возраста, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0009252542372881357,118,34,28.8135593220339,28.686572632350245,100.72720327118643,1.2217797796610168,19,4,1.7894736842105263,0.0012216027268644066,2.121052684210526,False
362,"Матрас детский, шт.",Непродовольственные товары,Мебель,0.0018795744680851064,94,27,28.723404255319153,47.50962191532714,100.39723394680854,1.1989362659574472,10,8,2.7,0.0012999522893617024,1.3229999000000006,False
273,"Кольцо обручальное золотое, грамм",Непродовольственные товары,Другие непродовольственные товары,0.005885762711864406,118,33,27.966101694915253,39.137821804987624,100.9400847966102,2.1690677457627108,12,10,2.75,0.010068676839576268,2.5083333333333315,False
728,"Шины для легкового автомобиля, шт.",Непродовольственные товары,Легковые автомобили,0.0050240677966101694,118,33,27.966101694915253,22.419202482963364,100.54313554237288,0.6253390338983049,19,5,1.736842105263158,0.0033687466935593212,1.0431583157894722,False
566,"Сапоги женские зимние с верхом из натуральной кожи, пара",Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",0.0033084745762711875,118,33,27.966101694915253,29.13165983606556,99.99576255932203,1.1133899830508476,13,5,2.5384615384615383,0.0035395741302542377,1.196154384615383,False
453,"Пальто женское зимнее из шерстяных или полушерстяных тканей, шт.",Непродовольственные товары,Одежда и белье,0.00184457627118644,118,33,27.966101694915253,25.535238445281642,100.3527966440678,0.7314406440677967,18,4,1.8333333333333333,0.0013637125811864412,0.7377777777777779,False
281,"Комплект столовых приборов, комплект на 1 человека",Непродовольственные товары,Другие непродовольственные товары,0.0013845762711864407,118,33,27.966101694915253,27.78185824458318,100.64220337288138,0.779152559322034,23,3,1.434782608695652,0.0009194406700000004,1.3973912608695653,False
221,"Жевательная резинка, упаковка",Продовольственные товары,Кондитерские изделия,0.000649830508474576,118,32,27.11864406779661,23.800208659363598,100.56788141525423,1.451101635593221,11,7,2.909090909090909,0.001053494867288136,1.4263633636363666,False
276,"Комбинезон утепленный для детей до одного года, шт.",Непродовольственные товары,Одежда и белье,0.0006147457627118641,118,32,27.11864406779661,27.94320374965537,100.54279669491524,1.2182202542372884,13,8,2.4615384615384617,0.0007656999576271186,1.2407692307692304,False
542,"Ремень мужской, шт.",Непродовольственные товары,Галантерея,0.0005633962264150943,106,28,26.41509433962264,22.739450770261215,100.33028302830189,0.7453773490566036,16,6,1.75,0.00038396036820754706,1.1380000000000006,False
384,"Мороженое сливочное, кг",Продовольственные товары,Другие продовольственные товары,0.0035772881355932208,118,31,26.27118644067797,24.91945418364446,100.77177970338984,1.1370338559322033,16,7,1.9375,0.004115853257288136,1.258750000000001,False
571,"Сапоги, ботинки мужские зимние с верхом из натуральной кожи, пара",Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",0.002652033898305084,118,31,26.27118644067797,26.71119064357385,100.19135600847457,1.2079660254237292,17,4,1.8235294117647058,0.00319732099,1.448235294117649,False
316,"Кровать для новорожденных,шт.",Непродовольственные товары,Мебель,0.0013046808510638296,94,24,25.53191489361702,38.86986301369864,100.36819160638298,1.2377658404255318,15,3,1.6,0.0010051274529787233,0.9706660666666683,False
475,"Пиджак, жакет женский из шерстяных, полушерстяных или смесовых тканей, шт.",Непродовольственные товары,Одежда и белье,0.002962881355932204,118,30,25.423728813559322,25.28173445455065,100.38805097457626,0.689406652542373,17,4,1.7647058823529411,0.002171006440847458,1.3056249999999991,False
274,"Коляска для новорожденного, шт.",Непродовольственные товары,Галантерея,0.0011430508474576276,118,30,25.423728813559322,33.288849347568195,100.28194906779663,0.8350000847457634,14,11,2.142857142857143,0.0009392305057627125,1.3900000769230763,False
232,"Зеркало навесное для ванной комнаты, шт.",Непродовольственные товары,Мебель,0.0008161016949152544,118,30,25.423728813559322,24.4963655244029,100.35847455084748,0.5927118898305083,16,5,1.875,0.0005060991721186439,0.506249812500001,False
655,"Туфли детские летние (сандалеты), пара",Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",0.0007491525423728813,118,30,25.423728813559322,25.24886877828055,100.52728823728813,1.3447456610169475,18,4,1.6666666666666667,0.0009809134976271178,1.6183331666666652,False
275,"Комбинезон (костюм) утепленный для детей дошкольного возраста, шт.",Непродовольственные товары,Одежда и белье,0.000593050847457627,118,30,25.423728813559322,25.86453272363533,100.24686436440676,1.135339025423729,15,6,2.0,0.0006902525682203388,1.951333333333334,False
654,"Туалетная вода, 100 мл",Непродовольственные товары,Парфюмерно-косметические товары,0.004018474576271188,118,29,24.576271186440678,25.95006115820995,100.50788146610171,1.6233049745762715,14,6,2.0714285714285716,0.006394148698559321,1.5107142142857148,False
710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",Продовольственные товары,Хлеб и хлебобулочные изделия,0.0028545762711864394,118,29,24.576271186440678,22.016387602422522,100.59228811016948,0.8721186694915252,18,8,1.6111111111111112,0.002605477201440677,0.9538891111111099,False
721,"Часы наручные, шт.",Непродовольственные товары,Другие непродовольственные товары,0.000725254237288136,118,29,24.576271186440678,24.865622809067524,100.42593202542373,0.5461018728813553,25,3,1.16,0.000415544148728813,0.8755999599999984,False
248,"Кальмары мороженые, кг",Продовольственные товары,Рыбопродукты,0.0002397872340425533,94,23,24.46808510638298,17.790594498669027,100.61861697872341,1.7609574893617024,10,7,2.3,0.00043453937851063826,1.9289999000000009,False
452,"Пальто женское демисезонное из шерстяных или полушерстяных тканей, шт.",Непродовольственные товары,Одежда и белье,0.0017010169491525416,118,28,23.728813559322035,24.257672379434055,100.44135587288133,0.8608475169491522,19,3,1.4736842105263157,0.0014509255455084742,0.9194739473684204,False
659,"Туфли женские модельные с верхом из натуральной кожи, пара",Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",0.0015137288135593225,118,28,23.728813559322035,28.759377449333773,100.06584743220341,0.9626271440677967,12,6,2.3333333333333335,0.001453512702627119,2.3583335000000005,False
622,"Табурет для кухни, шт.",Непродовольственные товары,Мебель,0.0007176271186440679,118,28,23.728813559322035,23.382144544166273,100.46966077966101,1.0076273559322033,18,3,1.5555555555555556,0.000728193410338983,1.4982355882352942,False
647,"Трикотажная шапочка детская, шт.",Непродовольственные товары,Трикотажные изделия,0.0006767796610169493,118,28,23.728813559322035,24.279989982469314,100.19161030508474,1.3451693559322033,16,4,1.75,0.00090000756779661,1.1426667999999987,False
555,"Рыба живая и охлажденная, кг",Продовольственные товары,Рыбопродукты,0.0035647457627118635,118,27,22.88135593220339,22.610783567896544,100.50025411016948,1.326017076271187,12,8,2.25,0.004721020815000001,3.2258333333333353,False
109,"Авторучка шариковая, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0007461016949152543,118,27,22.88135593220339,22.660154475238524,100.98898316949155,1.1869490338983049,17,4,1.588235294117647,0.0008748668409322034,1.2468752499999995,False
698,"Филе сельди соленое, кг",Продовольственные товары,Рыбопродукты,0.0006630508474576266,118,27,22.88135593220339,19.197341513292447,100.58398306779662,1.6800847288135594,9,11,3.0,0.0011895517043220344,2.458888444444445,False
243,"Икра лососевых рыб, отечественная, кг",Продовольственные товары,Рыбопродукты,0.0006157627118644066,118,27,22.88135593220339,23.2314891274429,100.69144055084746,1.2302543644067794,13,9,2.076923076923077,0.0007540034649152538,1.0107696153846155,False
165,"Вино виноградное столовое, л",Продовольственные товары,Алкогольные напитки,0.00225677966101695,118,26,22.033898305084744,25.94817874577543,100.48610174576274,1.0061016440677963,15,4,1.7333333333333334,0.00199735329677966,0.9066664666666658,False
485,"Плитка керамическая, облицовочная для внутренних работ, м2",Непродовольственные товары,Строительные материалы,0.0008427118644067797,118,26,22.033898305084744,25.42236524537409,100.4742373559322,0.5977965423728816,17,4,1.5294117647058822,0.0005219855084745766,0.8406248125000007,False
568,"Сапоги цельнорезиновые для взрослых, пара",Непродовольственные товары,Другие непродовольственные товары,0.00040220338983050843,118,26,22.033898305084744,24.67340918668353,100.19550866101693,1.0888981186440678,16,6,1.625,0.0004144507729661017,1.6418745625000009,False
1048,"Сумка женская, шт.",Непродовольственные товары,Галантерея,0.0015743478260869565,46,10,21.73913043478261,21.706710853355425,100.16673899999999,0.8619566521739119,8,2,1.25,0.0013480502134782589,1.061428999999998,False
968,"Рюкзак для взрослых, шт.",Непродовольственные товары,Галантерея,0.0010368571428571432,70,15,21.428571428571427,21.341967484155408,100.36328592857143,0.9838569285714288,12,2,1.25,0.0010220069252857146,1.2818174545454546,False
132,"Бензин автомобильный марки АИ-98, л",Непродовольственные товары,Топливо моторное,0.008057234042553192,94,20,21.27659574468085,20.86667194803137,100.70372337234043,0.7503191808510639,12,3,1.6666666666666667,0.006047744265744682,0.5291667500000005,False
207,"Джемпер мужской, шт.",Непродовольственные товары,Трикотажные изделия,0.0017535593220338987,118,25,21.1864406779661,21.394741929248013,100.39135611016948,0.7910167711864402,15,5,1.6666666666666667,0.0013548200501694908,1.1206664,False
351,"Майка, футболка мужская бельевая, шт.",Непродовольственные товары,Трикотажные изделия,0.0012799999999999997,118,25,21.1864406779661,21.17319915254238,100.63144081355931,1.2719490169491525,18,2,1.3888888888888888,0.0016850896967796614,1.4952937647058817,False
234,"Зонт, шт.",Непродовольственные товары,Галантерея,0.0010076271186440677,118,25,21.1864406779661,20.61396131202691,100.48076281355932,0.817711762711864,16,4,1.5625,0.0008369634405084743,0.8753331333333316,False
350,"Майка, футболка женская бельевая, шт.",Непродовольственные товары,Трикотажные изделия,0.0009493220338983051,118,25,21.1864406779661,20.299946438136047,100.48779674576271,0.9010168135593222,18,3,1.3888888888888888,0.0008413236077118646,1.1494442222222234,False
326,"Кулинарные изделия из птицы, кг",Продовольственные товары,Мясопродукты,0.004462542372881357,118,24,20.33898305084746,23.779862509020475,100.78288127966101,1.153389906779661,11,6,2.1818181818181817,0.005224964735847459,1.5081820909090906,False
310,"Кофе натуральный в зернах и молотый, кг",Продовольственные товары,"Чай, кофе, какао",0.002815593220338985,118,24,20.33898305084746,20.542379003130257,100.67974593220337,2.0783896610169488,11,7,2.1818181818181817,0.005759474924915253,1.334544727272727,False
592,"Соленые и копченые деликатесные продукты из рыбы, кг",Продовольственные товары,Рыбопродукты,0.001334237288135593,118,24,20.33898305084746,17.72103658536586,100.64737288135592,1.3265254237288129,8,9,3.0,0.001789206819915253,1.2749992499999987,False
