Date,Horizon,Model,Actual,Prediction,Error,AbsError,KPI_Hit
2023-12-01,12,Ridge_Shock,0.29000000000000625,,,,
2023-12-01,12,EBM,0.29000000000000625,0.7990909090909071,-0.5090909090909008,0.5090909090909008,False
2023-12-01,12,LightGBM,0.29000000000000625,0.5753433986423175,-0.2853433986423113,0.2853433986423113,True
2023-12-01,12,Prophet,0.29000000000000625,0.9694047267111443,-0.679404726711138,0.679404726711138,False
2023-12-01,12,ETS,0.29000000000000625,0.6605004940242868,-0.37050049402428054,0.37050049402428054,True
2023-12-01,12,SARIMA,0.29000000000000625,0.1920713901281178,0.09792860987188845,0.09792860987188845,True
2023-12-01,12,NGBoost,0.29000000000000625,0.3754699999379625,-0.08546999993795623,0.08546999993795623,True
2023-12-01,12,CatBoost,0.29000000000000625,0.5147270817179646,-0.2247270817179583,0.2247270817179583,True
2023-12-01,12,Subcomp,0.29000000000000625,,,,
2023-12-01,12,Subcomp_Multi,0.29000000000000625,,,,
2023-12-01,12,Micro,0.29000000000000625,,,,
2024-01-01,1,Ridge,0.8700000000000045,0.9982389287344944,-0.12823892873448983,0.12823892873448983,True
2024-01-01,1,Ridge_Ext,0.8700000000000045,,,,
2024-01-01,1,Bayes_Ridge,0.8700000000000045,,,,
2024-01-01,1,ElasticNet,0.8700000000000045,,,,
2024-01-01,1,Huber,0.8700000000000045,,,,
2024-01-01,1,Ridge_Shock,0.8700000000000045,,,,
2024-01-01,1,EBM,0.8700000000000045,1.028333416666669,-0.15833341666666456,0.15833341666666456,True
2024-01-01,1,LightGBM,0.8700000000000045,0.6032036238061949,0.2667963761938097,0.2667963761938097,True
2024-01-01,1,Prophet,0.8700000000000045,1.1354333163532344,-0.26543331635322986,0.26543331635322986,True
2024-01-01,1,ETS,0.8700000000000045,1.048755214388045,-0.17875521438804043,0.17875521438804043,True
2024-01-01,1,SARIMA,0.8700000000000045,0.36310384017402036,0.5068961598259842,0.5068961598259842,False
2024-01-01,1,NGBoost,0.8700000000000045,0.9879786764070531,-0.11797867640704851,0.11797867640704851,True
2024-01-01,1,CatBoost,0.8700000000000045,0.5115536538348522,0.35844634616515236,0.35844634616515236,True
2024-01-01,1,Subcomp,0.8700000000000045,,,,
2024-01-01,1,Subcomp_Multi,0.8700000000000045,,,,
2024-01-01,1,Micro,0.8700000000000045,,,,
2024-01-01,2,Ridge,0.8700000000000045,1.0039064123173205,-0.13390641231731593,0.13390641231731593,True
2024-01-01,2,Ridge_Ext,0.8700000000000045,,,,
2024-01-01,2,Bayes_Ridge,0.8700000000000045,,,,
2024-01-01,2,ElasticNet,0.8700000000000045,,,,
2024-01-01,2,Huber,0.8700000000000045,,,,
