Date,Model,MAE_h1,MAE_h2,MAE_h12,KPI_Rate,SIRENA_Score,Window_Size
2025-02-01,EBM,0.36655989102563896,0.36655989102563896,0.36655989102563896,0.08333333333333333,0.702573124465808,12
2025-02-01,LightGBM,0.36590066445106,0.45129188746651633,0.5398990419656234,0.08333333333333333,0.8171089381456684,12
2025-02-01,Prophet,0.3614344466237294,0.36800723641746563,0.4423867938681905,0.08333333333333333,0.7275604432705899,12
2025-02-01,ETS,0.42308947968406435,0.44933071634539606,0.426443383433883,0.08333333333333333,0.8272958769121529,12
2025-02-01,SARIMA,0.4647919829151483,0.4405551179511688,0.6651082033638631,0.08333333333333333,0.9537029877384201,12
2025-02-01,NGBoost,0.3341149149257028,0.3515468048423666,0.34726594244195397,0.08333333333333333,0.6554514841909084,12
2025-02-01,CatBoost,0.35645549958146105,0.38178796712766544,0.39712647966724646,0.08333333333333333,0.7133630854030856,12
2025-02-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,Micro,0.5400000000000063,0.6800000000000068,1.0,0.5,1.011000000000008,2
2025-03-01,Ridge,0.33598156320428885,0.3453665713754657,0.39047477633533606,0.08333333333333333,0.6702501075402152,12
2025-03-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,EBM,0.3595780534187997,0.3595780534187997,0.3595780534187997,0.08333333333333333,0.6891912690526995,12
2025-03-01,LightGBM,0.37035990457967216,0.4596762599650018,0.5714733429840754,0.08333333333333333,0.8383068728459574,12
2025-03-01,Prophet,0.37261595951956966,0.390753234037025,0.4918455771483645,0.08333333333333333,0.7703142086844168,12
2025-03-01,ETS,0.42897786795320725,0.44277122854842893,0.41018612506469126,0.08333333333333333,0.822935261145302,12
2025-03-01,SARIMA,0.4592672949245635,0.46334874149015803,0.6858520242370667,0.08333333333333333,0.9694666266170898,12
2025-03-01,NGBoost,0.3244784038914889,0.3540473926740522,0.36311083106073855,0.08333333333333333,0.65372820642354,12
2025-03-01,CatBoost,0.365133694460269,0.41044650410240874,0.4111972627329242,0.08333333333333333,0.7435521477642638,12
2025-03-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2025-03-01,Micro,0.5400000000000063,0.3500000000000014,1.0,0.5,0.8625000000000053,2
2025-04-01,Ridge,0.33785390990909886,0.3437540867278865,0.3720056194448465,0.08333333333333333,0.6640374176519457,12
2025-04-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,EBM,0.3441880961538419,0.3441880961538419,0.3441880961538419,0.08333333333333333,0.6596938509615303,12
2025-04-01,LightGBM,0.3619233821499724,0.47642783994488386,0.5811218980673658,0.08333333333333333,0.8435526434545221,12
2025-04-01,Prophet,0.3709193037066967,0.37506156794060125,0.4769888347569358,0.08333333333333333,0.7539704542749222,12
2025-04-01,ETS,0.4448927252349084,0.45915705004601914,0.3890442649375148,0.08333333333333333,0.8395044670192956,12
2025-04-01,SARIMA,0.4570410126448157,0.46708333098372207,0.7039400517973053,0.08333333333333333,0.9764142389558891,12
2025-04-01,NGBoost,0.32034762815078466,0.35077194265134654,0.35210792592867673,0.08333333333333333,0.643668382275019,12
2025-04-01,CatBoost,0.36600319052125957,0.3971806784014795,0.3961183378009352,0.08333333333333333,0.7309773104874163,12
2025-04-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2025-04-01,Micro,0.45000000000000284,0.30666666666666725,1.0,0.6666666666666666,0.6893333333333357,3
2025-05-01,Ridge,0.34331536220743547,0.35065982281721847,0.38170580431308565,0.08333333333333333,0.6769605118887091,12
2025-05-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2025-05-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2025-05-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2025-05-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2025-05-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2025-05-01,EBM,0.3533013440170893,0.3533013440170893,0.3533013440170893,0.08333333333333333,0.6771609093660879,12
2025-05-01,LightGBM,0.35744968890893364,0.45378828861086024,0.5766380043654044,0.08333333333333333,0.8245287861623777,12
2025-05-01,Prophet,0.3736057071935386,0.38699234933090215,0.40225706593269156,0.08333333333333333,0.734757945533275,12
