period_type,date,item_key,product_name,component,matched,match_method,match_score,item_code,sprav_name,weight,index_used,item_mom_pp,headline_contribution_pp
weekly_chain,2026-06-08 00:00:00,107,"Дом отдыха, пансионат, день",services,True,exact,1.0,210,"Дом отдыха, пансионат, день",0.00177,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,108,"Восстановление зуба пломбой, услуга",services,True,exact,1.0,342,"Лечение кариеса, пломба",0.00221,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,109,"Метамизол натрия (Анальгин отечественный), 10 таблеток",nonfood,True,exact,1.0,370,"Метамизол натрия (Анальгин отечественный), 500 мг, 10 таблеток",0.00036,100.31,0.3100000000000023,0.00011160000000000083
weekly_chain,2026-06-08 00:00:00,11,"Масло подсолнечное, л",food,True,exact,1.0,359,"Масло подсолнечное, кг",0.00543,102.46,2.4599999999999937,0.013357799999999967
weekly_chain,2026-06-08 00:00:00,110,"Пенталгин, 24 таблетки",nonfood,True,exact,1.0,1099,"Пенталгин, 24 таблетки",0.00035,101.26,1.2600000000000051,0.0004410000000000018
weekly_chain,2026-06-08 00:00:00,111,"Нимесулид, 10 таблеток",nonfood,True,exact,1.0,406,"Нимесулид, 100 мг, 10 таблеток",0.0004,100.71,0.7099999999999937,0.0002839999999999975
weekly_chain,2026-06-08 00:00:00,112,"Трекрезан, 10 таблеток",nonfood,True,exact,1.0,1102,"Трекрезан, 10 таблеток",0.00032,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,113,"Активированный уголь, 10 таблеток",nonfood,True,exact,1.0,851,"Активированный уголь, 250 мг, 10 таблеток",0.00032,101.52,1.519999999999996,0.00048639999999999876
weekly_chain,2026-06-08 00:00:00,114,"Лизобакт, 10 таблеток",nonfood,True,exact,1.0,1096,"Лизобакт, 10 таблеток",0.00034,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,12,"Маргарин, кг",food,True,exact,1.0,357,"Маргарин, кг",0.0008,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,13,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",food,True,exact,1.0,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302,99.33,-0.6700000000000017,-0.002023400000000005
weekly_chain,2026-06-08 00:00:00,14,"Молоко питьевое цельное ультрапастеризованное 2,5-3,2% жирности, л",food,True,fuzzy,0.9491525423728814,378,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",0.00302,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,15,"Сметана, кг",food,True,exact,1.0,588,"Сметана, кг",0.00748,100.19,0.18999999999999773,0.001421199999999983
weekly_chain,2026-06-08 00:00:00,16,"Творог, кг",food,True,exact,1.0,1049,"Творог, кг",0.00591,97.84,-2.1599999999999966,-0.012765599999999981
weekly_chain,2026-06-08 00:00:00,17,"Смеси сухие молочные для детского питания, кг",food,True,exact,1.0,587,"Смеси сухие молочные для детского питания, кг",0.00077,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,18,"Сыры твердые, полутвердые и мягкие, кг",food,True,exact,1.0,621,"Сыры твердые, полутвердые и мягкие, кг",0.00514,102.11,2.1099999999999994,0.010845399999999996
weekly_chain,2026-06-08 00:00:00,19,"Консервы овощные для детского питания, кг",food,True,exact,1.0,288,"Консервы овощные для детского питания, кг",8e-05,99.37,-0.6299999999999955,-5.039999999999964e-05
weekly_chain,2026-06-08 00:00:00,2,"Свинина (кроме бескостного мяса), кг",food,True,exact,1.0,577,"Свинина (кроме бескостного мяса), кг",0.00481,100.21,0.20999999999999375,0.00101009999999997
weekly_chain,2026-06-08 00:00:00,20,"Консервы фруктово-ягодные для детского питания, кг",food,True,exact,1.0,294,"Консервы фруктово-ягодные для детского питания, кг",9e-05,96.75,-3.25,-0.0002925
weekly_chain,2026-06-08 00:00:00,21,"Яйца куриные, 10 шт.",food,True,exact,1.0,754,"Яйца куриные, 10 шт.",0.00543,96.65,-3.3499999999999943,-0.01819049999999997
weekly_chain,2026-06-08 00:00:00,22,"Сахар-песок, кг",food,True,exact,1.0,572,"Сахар-песок, кг",0.00532,100.69,0.6899999999999977,0.003670799999999988
weekly_chain,2026-06-08 00:00:00,23,"Печенье, кг",food,True,exact,1.0,470,"Печенье, кг",0.00549,101.79,1.7900000000000063,0.009827100000000035
weekly_chain,2026-06-08 00:00:00,24,"Чай черный байховый, кг",food,True,exact,1.0,717,"Чай черный байховый, кг",0.00269,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,25,"Соль поваренная пищевая, кг",food,True,exact,1.0,593,"Соль поваренная пищевая, кг",0.00122,99.79,-0.20999999999999375,-0.00025619999999999235
weekly_chain,2026-06-08 00:00:00,26,"Мука пшеничная, кг",food,True,exact,1.0,388,"Мука пшеничная, кг",0.00424,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,27,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",food,True,exact,1.0,710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0.00255,100.04,0.04000000000000625,0.00010200000000001595
